Elevation_m,Storage_m3,Area_ha
337.1,0,0
337.7,2467,0.4
338.3,4934,0.4
338.6,8634,1.6
338.9,13568,2
339.2,19736,2.4
339.5,25903,2.4
339.9,33304,2.8
340.2,41938,3.2
340.5,51806,3.6
340.8,62908,4
341.1,74009,4
341.4,87577,4.9
341.7,101146,4.9
342,114714,4.9
342.3,129516,5.3
342.6,145551,5.7
342.9,162820,6.1
343.2,180088,6.1
343.5,199824,6.9
343.8,219560,6.9
344.1,241762,7.7
344.4,263965,7.7
344.7,287401,8.1
345,310837,8.1
345.3,335507,8.5
345.6,361410,8.9
345.9,387313,8.9
346.3,415683,9.7
346.6,442820,9.7
346.9,472424,10.1
347.2,503261,10.5
347.5,534098,10.5
347.8,566168,10.9
348.1,599472,11.3
348.4,632776,11.3
348.7,667314,11.7
349,703085,12.1
349.3,740089,12.5
349.6,778327,13
349.9,817798,13.4
350.2,858503,13.8
350.5,899208,13.8
350.8,941147,14.2
351.1,983085,14.2
351.4,1027490,15
351.7,1073129,15.4
352,1118768,15.4
352.3,1165640,15.8
352.7,1213746,16.2
353,1264319,17
353.3,1314892,17
353.6,1366698,17.4
353.9,1419738,17.8
354.2,1474011,18.2
354.5,1529517,18.6
354.8,1585024,18.6
355.1,1642998,19.4
355.4,1702205,19.8
355.7,1762646,20.2
356,1824320,20.6
356.3,1887227,21
356.6,1951368,21.4
356.9,2016743,21.9
357.2,2083351,22.3
357.5,2152426,23.1
357.8,2223968,23.9
358.1,2295510,23.9
358.4,2370752,25.1
358.7,2447228,25.5
359.1,2524937,25.9
359.4,2605114,26.7
359.7,2687757,27.5
360,2771634,27.9
360.3,2859211,29.1
360.6,2948022,29.5
360.9,3040533,30.8
361.2,3136744,32
361.5,3234189,32.4
361.8,3335335,33.6
362.1,3438947,34.4
362.4,3546260,35.6
362.7,3656040,36.4
363,3769520,37.6
363.3,3885468,38.4
363.6,4003882,39.3
363.9,4125997,40.5
364.2,4251812,41.7
364.5,4381327,42.9
364.8,4513310,43.7
365.2,4647760,44.5
365.5,4787143,46.1
365.8,4928993,46.9
366.1,5074544,48.2
366.4,5222562,49
366.7,5373047,49.8
367,5527232,51
367.3,5683884,51.8
367.6,5844237,53
367.9,6007057,53.8
368.2,6172343,54.6
368.5,6341330,55.8
368.8,6512784,57.1
