Elevation_m,Storage_m3,Area_ha
218.8,0,88.6
219.2,1233,88.7
219.5,3700,88.8
219.8,11101,88.9
220.1,18502,89.1
220.4,28370,89.2
220.7,40705,89.3
221.0,54274,89.4
221.3,71542,89.6
221.6,92512,89.7
221.9,117181,89.8
222.2,148019,89.9
222.5,185023,90.0
222.8,228196,90.2
223.1,280002,90.3
223.4,340443,90.4
223.7,410752,90.5
224.0,492162,90.7
224.3,585907,90.8
224.6,696921,90.9
224.9,825204,91.0
225.2,973223,91.2
225.6,1140978,91.3
225.9,1328468,91.4
226.2,1535694,91.5
226.5,1760189,91.6
226.8,2006887,91.8
227.1,2273321,91.9
227.4,2559490,92.0
227.7,2861695,92.1
228.0,3179935,92.3
228.3,3516678,92.4
228.6,3871923,92.5
228.9,4248137,92.6
229.2,4647787,92.8
229.5,5072108,92.9
229.8,5523565,93.0
230.1,6000925,93.1
230.4,6505422,93.3
230.7,7039523,93.4
231.0,7603228,93.5
231.3,8197769,93.6
231.6,8823149,93.7
232.0,9475664,93.9
232.3,10149149,94.0
232.6,10843604,94.1
232.9,11561495,94.2
233.2,12301588,94.4
233.5,13074986,94.5
233.8,13815079,94.6
234.1,14678522,94.7
234.4,15541964,94.9
234.7,16405407,95.0
235.0,17268849,95.1
235.3,18132292,95.2
235.6,19119083,95.3
235.9,20105875,95.5
236.2,21092666,95.6
236.5,22079457,95.7
236.8,23189598,95.8
237.1,24176389,96.0
237.4,25286529,96.1
237.7,26520019,96.2
238.0,27630159,96.3
238.4,28863648,96.5
238.7,29973788,96.6
239.0,31330627,96.7
239.3,32564116,96.8
239.6,33797605,97.0
239.9,35154443,97.1
240.2,36511281,97.2
240.5,37868120,97.3
240.8,39224958,97.4
241.1,40581796,97.6
241.4,42061983,97.7
241.7,43542170,97.8
242.0,45022357,97.9
242.3,46502544,98.1
242.6,47982731,98.2
242.9,49586267,98.3
243.2,51066454,98.4
243.5,52669990,98.6
243.8,54273526,98.7
244.1,56000411,98.8
244.4,57603947,98.9
244.8,59207483,99.0
245.1,60934368,99.2
245.4,62661253,99.3
245.7,64412808,99.4
246.0,66189033,99.5
246.3,68014597,99.7
