Elevation_m,Storage_m3,Area_ha
205.1,0,83.0
205.4,16035,83.1
205.7,33304,83.3
206.0,49340,83.4
206.3,65375,83.5
206.7,81410,83.6
207.0,98679,83.8
207.3,114714,83.9
207.6,167755,84.0
207.9,226962,84.1
208.2,293570,84.2
208.5,368813,84.4
208.8,451457,84.5
209.1,542735,84.6
209.4,643881,84.7
209.7,753662,84.9
210.0,873310,85.0
210.3,1004060,85.1
210.6,1140978,85.2
210.9,1281595,85.4
211.2,1424680,85.5
211.5,1572699,85.6
211.8,1721951,85.7
212.1,1876137,85.9
212.4,2032790,86.0
212.8,2193144,86.1
213.1,2355964,86.2
213.4,2523719,86.3
213.7,2698874,86.5
214.0,2885131,86.6
214.3,3082490,86.7
214.6,3293416,86.8
214.9,3516678,87.0
215.2,3753508,87.1
215.5,4002673,87.2
215.8,4266639,87.3
216.1,4544174,87.5
216.4,4836511,87.6
216.7,5139950,87.7
217.0,5448322,87.8
217.3,5764095,87.9
217.6,6087269,88.1
217.9,6415378,88.2
218.2,6752120,88.3
218.5,7093797,88.4
218.8,7442874,88.6
219.2,7799352,88.7
219.5,8161998,88.8
219.8,8539446,88.9
220.1,8940330,89.1
220.4,9364650,89.2
220.7,9813640,89.3
221.0,10287300,89.4
221.3,10786863,89.6
221.6,11313563,89.7
221.9,11867400,89.8
222.2,12458241,89.9
222.5,13074986,90.0
222.8,13691731,90.2
223.1,14308475,90.3
223.4,15048569,90.4
223.7,15665313,90.5
224.0,16405407,90.7
224.3,17022151,90.8
224.6,17762245,90.9
224.9,18502339,91.0
225.2,19365781,91.2
225.6,20105875,91.3
225.9,20845968,91.4
226.2,21709411,91.5
226.5,22449504,91.6
226.8,23189598,91.8
227.1,24053040,91.9
227.4,24793134,92.0
227.7,25656576,92.1
228.0,26396670,92.3
228.3,27260112,92.4
228.6,28000206,92.5
228.9,28863648,92.6
229.2,29727091,92.8
229.5,30467184,92.9
229.8,31330627,93.0
230.1,32194069,93.1
230.4,33057512,93.3
230.7,34044303,93.4
231.0,34907745,93.5
231.3,35894537,93.6
231.6,36757979,93.7
232.0,37744771,93.9
232.3,38731562,94.0
232.6,39718353,94.1
232.9,40705145,94.2
233.2,41691936,94.4
233.5,42678728,94.5
233.8,43665519,94.6
234.1,44775659,94.7
234.4,45762451,94.9
234.7,46872591,95.0
235.0,47982731,95.1
235.3,49092872,95.2
235.6,50203012,95.3
235.9,51313152,95.5
236.2,52546642,95.6
236.5,53780131,95.7
236.8,55013620,95.8
237.1,56247109,96.0
237.4,57480599,96.1
237.7,58837437,96.2
238.0,60194275,96.3
238.4,61427764,96.5
238.7,62784602,96.6
239.0,64141440,96.7
239.3,65498279,96.8
239.6,66855117,97.0
239.9,68211955,97.1
240.2,69568793,97.2
240.5,71048980,97.3
240.8,72405818,97.4
241.1,73762656,97.6
241.4,75242844,97.7
241.7,76723031,97.8
242.0,78203218,97.9
242.3,79683405,98.1
242.6,81163592,98.2
242.9,82767128,98.3
243.2,84370664,98.4
243.5,85974200,98.6
243.8,87577736,98.7
244.1,89304621,98.8
244.4,90908157,98.9
244.8,92635042,99.0
245.1,94361927,99.2
245.4,96088812,99.3
245.7,97815697,99.4
246.0,99542582,99.5
246.3,101392815,99.7
246.6,103119700,99.8
246.9,104969934,99.9
247.2,106820168,100.0
247.5,108670402,100.2
247.8,110643985,100.3
248.1,112494219,100.4
248.4,114467801,100.5
248.7,116318035,100.7
249.0,118291618,100.8
249.3,120265201,100.9
249.6,122238784,101.0
249.9,124335715,101.1
250.2,126309298,101.3
250.5,128406230,101.4
250.9,130503161,101.5
251.2,132600093,101.6
251.5,134697025,101.8
251.8,136793957,101.9
252.1,138890888,102.0
252.4,140987820,102.1
252.7,143208101,102.3
253.0,145305032,102.4
253.3,147525313,102.5
253.6,149745594,102.6
253.9,151965874,102.7
254.2,154309504,102.9
254.5,156653133,103.0
254.8,158996763,103.1
255.1,161340392,103.2
255.4,163807371,103.4
255.7,166274349,103.5
256.0,168741328,103.6
