Elevation_m,Storage_m3,Area_ha
193.2,0,0
193.5,7401,0.8
193.9,14802,1.6
194.2,22203,3.2
194.5,29604,5.3
194.8,37004,10.5
195.1,44405,14.6
195.4,92511,17
195.7,148018,18.6
196,210925,20.6
196.3,282467,23.5
196.6,362644,27.9
196.9,458855,35.6
197.2,579736,45.3
197.5,726521,56.3
197.8,904142,66.8
198.1,1113834,74.5
198.4,1345729,79.7
198.7,1588725,82.6
199,1841588,85
199.3,2106787,87.8
199.6,2381853,92.3
199.9,2674189,98.7
200.3,2989960,106
200.6,3329167,114.1
200.9,3691811,123
201.2,4081591,131.9
201.5,4498508,141.6
201.8,4943795,151.8
202.1,5419919,161.9
202.4,5926880,172.4
202.7,6467145,182.5
203,7037014,192.2
203.3,7632786,202.8
203.6,8256927,212.1
203.9,8909439,221
204.2,9590321,228.2
204.5,10290939,232.7
204.8,10998958,234.3
205.1,11716844,235.5
205.4,12458167,238
205.7,13198256,242.8
206,13938345,251.3
206.3,14678434,260.6
206.7,15541871,274.4
207,16405308,287.3
207.3,17268746,298.7
207.6,18255531,308.8
207.9,19118968,319.3
208.2,20105754,329
208.5,21215888,338.7
208.8,22202673,347.2
209.1,23312807,352.9
209.4,24422940,362.2
209.7,25533074,368.7
210,26643208,374.7
210.3,27753341,380.4
210.6,28863475,385.3
210.9,30096957,389.7
211.2,31330439,393.4
211.5,32440572,397
211.8,33674054,400.6
212.1,34907536,404.3
212.4,36141018,407.5
212.8,37374500,410.8
213.1,38731330,414
213.4,39964812,417.2
