Elevation_m,Storage_m3,Area_ha
224.0,0,90.7
224.3,3700,90.8
224.6,6167,90.9
224.9,18502,91.0
225.2,30837,91.2
225.6,43172,91.3
225.9,72776,91.4
226.2,112248,91.5
226.5,160354,91.6
226.8,220795,91.8
227.1,292337,91.9
227.4,378681,92.0
227.7,478594,92.1
228.0,594542,92.3
228.3,727759,92.4
228.6,878244,92.5
228.9,1047232,92.6
229.2,1233489,92.8
229.5,1438248,92.9
229.8,1662743,93.0
230.1,1908208,93.1
230.4,2173408,93.3
230.7,2460811,93.4
231.0,2771650,93.5
231.3,3105926,93.6
231.6,3464871,93.7
232.0,3847253,93.9
232.3,4253071,94.0
232.6,4683559,94.1
232.9,5138716,94.2
233.2,5618543,94.4
233.5,6125508,94.5
233.8,6659608,94.6
234.1,7222079,94.7
234.4,7811687,94.9
234.7,8430899,95.0
235.0,9072313,95.1
235.3,9727296,95.2
235.6,10395847,95.3
235.9,11076733,95.5
236.2,11771188,95.6
236.5,12458241,95.7
236.8,13198335,95.8
237.1,13938428,96.0
237.4,14678522,96.1
237.7,15418615,96.2
238.0,16282058,96.3
238.4,17022151,96.5
238.7,17885594,96.6
239.0,18749036,96.7
239.3,19489130,96.8
239.6,20475921,97.0
239.9,21339364,97.1
240.2,22202806,97.2
240.5,23189598,97.3
240.8,24176389,97.4
241.1,25163180,97.6
241.4,26149972,97.7
241.7,27136763,97.8
242.0,28246904,97.9
242.3,29357044,98.1
242.6,30467184,98.2
242.9,31577325,98.3
243.2,32687465,98.4
243.5,33920954,98.6
243.8,35154443,98.7
244.1,36387933,98.8
244.4,37621422,98.9
244.8,38978260,99.0
245.1,40211749,99.2
245.4,41568587,99.3
245.7,42925425,99.4
246.0,44282264,99.5
246.3,45639102,99.7
246.6,47119289,99.8
246.9,48599476,99.9
247.2,50079663,100.0
247.5,51559850,100.2
247.8,53040037,100.3
248.1,54643573,100.4
248.4,56247109,100.5
248.7,57850645,100.7
249.0,59577530,100.8
249.3,61304415,100.9
249.6,63031300,101.0
249.9,64758185,101.1
250.2,66485070,101.3
250.5,68335304,101.4
250.9,70185538,101.5
251.2,72159120,101.6
251.5,74132703,101.8
251.8,76106286,101.9
252.1,78079869,102.0
252.4,80176801,102.1
252.7,82273732,102.3
253.0,84494013,102.4
253.3,86714293,102.5
253.6,88934574,102.6
253.9,91154855,102.7
254.2,93375135,102.9
254.5,95718765,103.0
254.8,98062394,103.1
255.1,100406024,103.2
255.4,102873002,103.4
255.7,105216632,103.5
256.0,107683611,103.6
256.3,110150589,103.7
256.6,112740916,103.9
256.9,115207895,104.0
257.3,117798222,104.1
257.6,120388550,104.2
257.9,122978877,104.4
258.2,125569204,104.5
258.5,128282881,104.6
258.8,130873208,104.7
259.1,133586885,104.8
259.4,136423910,105.0
259.7,139137586,105.1
260.0,141851262,105.2
260.3,144688288,105.3
260.6,147401964,105.5
260.9,150238989,105.6
261.2,153076014,105.7
261.5,155913040,105.8
261.8,158750065,106.0
262.1,161710439,106.1
262.4,164568434,106.2
262.7,167425195,106.3
263.0,170283189,106.4
263.3,173141184,106.6
263.7,175997945,106.7
264.0,178855940,106.8
