Elevation_m,Storage_m3,Area_ha
379.2,0,0
398.7,12334818,40.5
404.2,24669637,80.9
408.4,37004455,121.4
412.1,49339274,161.9
414.5,58590387,182.1
414.8,59638847,344
415.1,60687306,344
415.4,61735766,344
415.7,62784226,344
416.1,63832685,344
416.4,64881145,344
416.7,65991278,364.2
417,67224760,364.2
417.3,68458242,364.2
417.6,69568376,364.2
417.9,70801857,372.3
418.2,72035339,380.4
418.5,73268821,388.5
418.8,74502303,396.6
419.1,75735785,404.7
419.4,76969267,407.9
419.7,78202749,410.8
420,79559579,414
420.3,80793060,417.2
420.6,82149890,420.1
420.9,83383372,423.3
421.2,84740202,426.5
421.5,86097032,429.8
421.8,87330514,432.6
422.1,88687344,435.9
422.5,90044174,439.1
422.8,91401004,441.9
423.1,92757834,445.2
423.4,94114664,448.4
423.7,95594842,451.2
424,96951672,454.5
424.3,98308502,457.7
424.6,99788681,460.5
424.9,101145511,463.8
425.2,102625689,467
425.5,104105867,470.3
425.8,105586045,473.1
426.1,106942875,476.3
426.4,108423054,479.6
426.7,109903232,482.4
427,111506758,485.6
427.3,112986936,488.9
427.6,114467115,491.7
427.9,115947293,494.9
428.2,117550819,498.2
428.5,119030997,501
428.9,120511176,504.2
429.2,122114702,507.5
429.5,123718228,510.7
429.8,125198407,513.6
430.1,126801933,516.8
430.4,128405459,520
430.7,130008986,522.9
431,131612512,526.1
431.3,133216038,528.9
431.6,134819565,531.8
431.9,136423091,534.6
432.2,138026618,537.8
432.5,139753492,540.7
432.8,141357019,543.5
433.1,142960545,546.3
433.4,144687420,549.2
433.7,146290946,552
434,148017821,554.8
434.3,149744695,558.1
434.6,151471570,560.9
434.9,153198444,563.7
435.3,154925319,566.6
435.6,156652193,569.8
435.9,158379068,572.6
436.2,160105943,575.9
436.5,161956165,579.1
436.8,163683040,582
437.1,165533263,585.2
437.4,167260137,588.4
437.7,169110360,591.7
438,170960583,594.5
438.3,172687457,597.7
438.6,174537680,601
438.9,176387903,603.8
439.2,178361474,607
439.5,180211696,610.7
439.8,182061919,614.3
440.1,183912142,618
440.4,185885713,621.6
440.7,187735936,625.3
441,189709507,629.3
441.4,191683078,632.9
441.7,193656648,636.6
442,195506871,640.2
442.3,197480442,643.9
442.6,199454013,647.5
442.9,201550932,651.6
443.2,203524503,655.6
443.5,205498074,659.7
443.8,207594993,663.7
444.1,209568564,667.7
444.4,211665483,671.8
444.7,213639054,675.8
445,215735973,679.9
445.3,217832893,683.9
445.6,219929812,688
445.9,222026731,693.2
446.2,224123650,698.1
446.5,226343917,703.4
446.8,228440836,708.2
447.1,230661104,713.5
447.4,232881371,718.3
447.8,234978290,723.6
448.1,237198557,728.5
448.4,239418825,733.7
448.7,241762440,738.6
449,243982707,743.8
449.3,246202975,748.7
449.6,248546590,753.9
449.9,250890206,758.8
450.2,253110473,764.1
450.5,255454089,768.9
450.8,257921052,773.4
451.1,260264668,777.8
451.4,262608283,782.3
451.7,264951899,786.7
452,267418862,791.6
452.3,269885826,796
452.6,272229442,800.5
452.9,274696405,804.9
453.2,277163369,809.4
453.5,279753681,814.6
453.8,282220644,819.5
454.2,284687608,824.8
454.5,287277920,829.6
454.8,289744884,834.9
455.1,292335195,839.7
455.4,294925507,845
455.7,297515819,849.9
456,300106131,854.3
456.3,302696443,858.8
456.6,305410103,863.2
456.9,308000415,867.7
457.2,310714075,872.5
457.5,313304387,877
457.8,316018047,881.4
458.1,318731707,885.9
458.4,321445367,890.3
458.7,324159027,894.4
459,326872687,898.4
459.3,329709695,902.5
459.6,332423355,906.5
459.9,335260363,910.6
460.2,337974023,914.6
460.6,340811032,918.7
460.9,343648040,922.7
461.2,346485048,926.8
461.5,349322056,930.8
461.8,352159065,935.2
462.1,354996073,939.7
462.4,357956429,944.2
462.7,360793437,948.6
463,363753794,953.5
463.3,366590802,957.9
463.6,369551159,962.4
463.9,372511515,966.8
464.2,375471871,971.3
464.5,378432228,976.5
464.8,381392584,981.4
465.1,384476289,986.6
465.4,387436645,991.5
465.7,390520350,996.8
466,393604054,1001.6
466.3,396687759,1006.9
466.6,399771464,1011.7
467,402855168,1018.6
467.3,406062221,1025.1
467.6,409145926,1032
467.9,412352978,1038.9
468.2,415560031,1045.3
468.5,418767084,1052.2
468.8,421974137,1062.3
469.1,425181189,1072.4
469.4,428388242,1082.6
469.7,431718643,1092.7
470,435172392,1133.1
470.3,438626141,1133.1
470.6,442079891,1133.1
470.9,445780336,1214.1
471.2,449480782,1214.1
471.5,453304575,1254.6
471.8,457128369,1254.6
472.1,461075511,1295
472.4,465146001,1335.5
472.7,469339839,1376
473,473533677,1376
473.4,477850864,1416.4
473.7,482291398,1456.9
474,486731933,1456.9
474.3,491419164,1537.8
474.6,496106395,1537.8
474.9,500916974,1578.3
475.2,505727553,1578.3
475.5,510784829,1659.2
