Elevation_m,Storage_m3,Area_ha
105.8,0,0
106.1,16035,16.2
106.4,224494,141.6
106.7,746257,202.3
107,1454275,263.1
107.3,2344849,323.8
107.6,3456216,404.7
107.9,4806879,485.6
108.2,6472079,607
108.5,8506091,728.5
108.8,10908913,849.9
109.1,13691648,971.3
109.4,16898701,1112.9
109.7,20475799,1254.6
110,24546289,1396.2
110.3,28986823,1537.8
110.6,33920751,1699.7
110.9,39348071,1902.1
111.3,45515480,2104.4
111.6,52176282,2306.8
111.9,59577173,2509.1
112.2,67471457,2711.5
112.5,76105829,2913.8
112.8,85233595,3055.4
113.1,94731405,3176.9
113.4,104599260,3298.3
113.7,114713811,3419.7
114,125321755,3541.1
114.3,136299743,3642.3
114.3,137451815,3650.3
116.4,211850506,4421.3
