Elevation_m,Storage_m3,Area_ha
336.5,0,0
336.8,1233,0.4
337.1,2467,2
337.4,3700,3.7
337.7,7401,5.3
338,11101,7
338.3,17269,8.6
338.6,23436,10.3
338.9,33304,11.9
339.2,44405,13.6
339.5,56740,15.2
339.9,72775,16.9
340.2,90044,18.5
340.5,111013,20.1
340.8,135683,21.8
341.1,161586,23.4
341.4,192423,25.1
341.7,224494,26.7
342,257798,28.4
342.3,291102,30
342.6,324406,31.7
342.9,358943,33.3
343.2,393481,34.9
343.5,429252,36.6
343.8,465023,38.2
344.1,502027,39.9
344.4,539032,41.5
344.7,577269,43.2
345,615507,44.8
345.3,653745,46.5
345.6,693217,48.1
345.9,732688,49.7
346.3,773393,51.4
346.6,814098,53
346.9,856036,54.7
347.2,897975,56.3
347.5,941147,58
347.8,985552,59.6
348.1,1032424,61.3
348.4,1080530,62.9
348.7,1132336,64.6
349,1185376,66.2
349.3,1240883,67.8
349.6,1300090,69.5
349.9,1360530,71.1
350.2,1424672,72.8
350.5,1490046,74.4
350.8,1559121,76.1
351.1,1631896,77.7
351.4,1705905,79.4
351.7,1783615,81
352,1863791,82.6
352.3,1947668,84.3
352.7,2034012,85.9
353,2122822,87.6
353.3,2215333,89.2
353.6,2311545,90.9
353.9,2410224,92.5
354.2,2512603,94.2
354.5,2617448,95.8
354.8,2724761,97.5
355.1,2835775,99.1
355.4,2950489,100.7
355.7,3067669,102.4
356,3187317,104
356.3,3311899,105.7
356.6,3437714,107.3
356.9,3568463,109
357.2,3701679,110.6
357.5,3839829,112.3
357.8,3980446,113.9
358.1,4123530,115.5
358.4,4271548,117.2
358.7,4422032,118.8
359.1,4577451,120.5
359.4,4735337,122.1
359.7,4898156,123.8
360,5063443,125.4
360.3,5231196,127.1
360.6,5401417,128.7
360.9,5572871,130.3
361.2,5748025,132
361.5,5925647,133.6
361.8,6104502,135.3
362.1,6287057,136.9
362.4,6472079,138.6
362.7,6659568,140.2
363,6848291,141.9
363.3,7040714,143.5
363.6,7235604,145.2
363.9,7432962,146.8
364.2,7632786,148.4
364.5,7836310,150.1
364.8,8041068,151.7
365.2,8248293,153.4
365.5,8459218,155
365.8,8672611,156.7
366.1,8888470,158.3
366.4,9108030,160
366.7,9330057,161.6
367,9555784,163.2
367.3,9785211,164.9
367.6,10017106,166.5
367.9,10252701,168.2
368.2,10490763,169.8
368.5,10732525,171.5
368.8,10977988,173.1
369.1,11225918,174.8
369.4,11478782,176.4
369.7,11734113,178
370,11991910,179.7
370.3,12254642,181.3
370.6,12581515,183
370.9,12828211,184.6
371.2,13074907,186.3
371.6,13321604,187.9
371.9,13691648,189.6
372.2,13938345,191.2
372.5,14185041,192.9
372.8,14431737,194.5
373.1,14801782,196.1
373.4,15048478,197.8
373.7,15418523,199.4
374,15665219,201.1
374.3,16035264,202.7
374.6,16281960,204.4
374.9,16652005,206
375.2,16898701,207.7
375.5,17268746,209.3
375.8,17515442,210.9
376.1,17885487,212.6
376.4,18255531,214.2
376.7,18625576,215.9
377,18872272,217.5
377.3,19242317,219.2
377.6,19612361,220.8
378,19982406,222.5
378.3,20352450,224.1
378.6,20722495,225.7
378.9,21092539,227.4
379.2,21462584,229
379.5,21832629,230.7
379.8,22202673,232.3
380.1,22572718,234
380.4,22942762,235.6
380.7,23312807,237.3
381,23806199,238.9
381.3,24176244,240.6
381.6,24546289,242.2
381.9,25039681,243.8
382.2,25409726,245.5
382.5,25903119,247.1
382.8,26273163,248.8
