Elevation_m,Storage_m3,Area_ha
160.5,0,0
161.5,19736,3.2
161.8,33304,4.5
162.2,50573,5.7
162.5,72775,7.3
162.8,98679,8.5
163.1,128282,9.7
163.4,164053,11.7
163.7,204758,13.4
164,251630,15.4
164.3,304670,17.4
164.6,363877,19.4
164.9,429252,21.4
165.2,500794,23.5
165.5,579736,25.9
165.8,663613,27.5
166.1,753657,29.5
166.4,852336,32.4
166.7,957182,34.4
167,1069429,36.8
167.3,1189076,39.3
167.6,1317359,42.1
167.9,1453042,44.5
168.2,1594892,46.5
168.6,1745377,49.4
168.9,1902029,51.4
169.2,2067316,54.2
169.5,2240003,56.7
169.8,2420091,59.1
170.1,2608814,61.9
170.4,2804938,64.3
170.7,3010929,67.6
171,3226788,70.8
171.3,3453749,74.5
171.6,3694278,78.9
171.9,3947142,83
172.2,4213574,87.4
172.5,4492341,91.5
172.8,4785910,96.3
173.1,5093047,100.8
173.4,5414985,105.6
173.7,5751726,110.5
174,6104502,115.7
174.3,6473313,121
174.7,6859392,126.7
175,7263975,132.7
175.3,7685825,138.4
175.6,8126178,144.5
175.9,8586267,151
176.2,9063625,156.6
176.5,9561951,163.5
176.8,10080014,170
177.1,10619045,176.9
177.4,11180279,184.1
177.7,11763716,191.4
178,12334818,192.2
178.3,12951559,202.3
178.6,13691648,215.8
178.9,14308389,229.3
179.2,15048478,242.8
179.5,15788568,249.6
179.8,16528657,256.3
180.1,17268746,263.1
180.4,18132183,269.8
180.7,18872272,276.5
181.1,19735709,283.3
181.4,20599147,289.1
181.7,21462584,294.8
182,22326021,300.6
182.3,23189459,306.4
182.6,24176244,312.2
182.9,25039681,318
183.2,26026467,323.8
183.5,26889904,328.8
183.8,27876690,333.9
184.1,28863475,338.9
184.4,29850260,344
184.7,30960394,349
185,31947180,354.1
185.3,32933965,359.2
185.6,34044099,364.2
185.9,35030884,367.9
186.2,36141018,371.6
186.5,37251151,375.3
186.8,38361285,378.9
187.1,39471419,382.6
187.5,40581552,386.3
187.8,41691686,390
188.1,42801820,393.7
188.4,44035302,397.3
188.7,45145435,401
189,46378917,404.7
189.3,47489051,409.8
189.6,48722533,414.8
189.9,49956014,419.9
190.2,51189496,424.9
190.5,52546326,430
190.8,53779808,435
191.1,55013290,440.1
191.4,56370120,445.2
191.7,57726950,451.9
192,59083780,458.7
192.3,60440610,465.4
192.6,61797440,472.1
192.9,63154270,478.9
193.2,64634448,485.6
193.5,65991278,491.4
193.9,67471457,497.2
194.2,68951635,503
194.5,70431813,508.8
194.8,71911991,514.5
195.1,73392169,520.3
195.4,74995696,526.1
195.7,76599222,534.2
196,78202749,542.3
196.3,79806275,550.4
196.6,81409801,558.5
196.9,83136676,566.6
197.2,84863550,576.7
197.5,86590425,586.8
197.8,88317300,596.9
198.1,90167522,607
