Elevation_m,Storage_m3,Area_ha
213.4,0,86.3
213.7,30837,86.5
214.0,61674,86.6
214.3,92512,86.7
214.6,123349,86.8
214.9,154186,87.0
215.2,185023,87.1
215.5,215861,87.2
215.8,246698,87.3
216.1,277535,87.5
216.4,308372,87.6
216.7,339210,87.7
217.0,370047,87.8
217.3,400884,87.9
217.6,431721,88.1
217.9,462558,88.2
218.2,493396,88.3
218.5,524233,88.4
218.8,555070,88.6
219.2,585907,88.7
219.5,616745,88.8
219.8,647582,88.9
220.1,678419,89.1
220.4,709256,89.2
220.7,740094,89.3
221.0,770931,89.4
221.3,801768,89.6
221.6,832605,89.7
221.9,863442,89.8
222.2,894280,89.9
222.5,925117,90.0
222.8,955954,90.2
223.1,986791,90.3
223.4,1017629,90.4
223.7,1048466,90.5
224.0,1079303,90.7
224.3,1110140,90.8
224.6,1140978,90.9
224.9,1171815,91.0
225.2,1202652,91.2
225.6,1233489,91.3
225.9,1264326,91.4
226.2,1295164,91.5
226.5,1326001,91.6
226.8,1356838,91.8
227.1,1387675,91.9
227.4,1418513,92.0
227.7,1449350,92.1
228.0,1480187,92.3
228.3,1511024,92.4
228.6,1541862,92.5
228.9,1572699,92.6
229.2,1603536,92.8
229.5,1634373,92.9
229.8,1665210,93.0
230.1,1696048,93.1
230.4,1726885,93.3
230.7,1757722,93.4
231.0,1788559,93.5
231.3,1819397,93.6
231.6,1850234,93.7
232.0,1973583,93.9
232.3,2096932,94.0
232.6,2220281,94.1
232.9,2343630,94.2
233.2,2466978,94.4
233.5,2590327,94.5
233.8,2713676,94.6
234.1,2837025,94.7
234.4,2960374,94.9
234.7,3083723,95.0
235.0,3330421,95.1
235.3,3577119,95.2
235.6,3823817,95.3
235.9,4070514,95.5
236.2,4317212,95.6
236.5,4563910,95.7
236.8,4810608,95.8
237.1,5057306,96.0
237.4,5304004,96.1
237.7,5550702,96.2
238.0,5920748,96.3
238.4,6290795,96.5
238.7,6660842,96.6
239.0,7030889,96.7
239.3,7400935,96.8
239.6,7770982,97.0
239.9,8141029,97.1
240.2,8511076,97.2
240.5,8881123,97.3
240.8,9251169,97.4
241.1,9744565,97.6
241.4,10237961,97.7
241.7,10731356,97.8
242.0,11224752,97.9
242.3,11718148,98.1
242.6,12211543,98.2
242.9,12704939,98.3
243.2,13198335,98.4
243.5,13691731,98.6
243.8,14185126,98.7
244.1,14801871,98.8
244.4,15418615,98.9
244.8,16035360,99.0
245.1,16652105,99.2
245.4,17268849,99.3
245.7,17885594,99.4
246.0,18502339,99.5
246.3,19119083,99.7
246.6,19735828,99.8
246.9,20352572,99.9
247.2,21154340,100.0
247.5,21956108,100.2
247.8,22757876,100.3
248.1,23559644,100.4
248.4,24361412,100.5
248.7,25163180,100.7
249.0,25964948,100.8
249.3,26766716,100.9
249.6,27568484,101.0
249.9,28370252,101.1
250.2,29357044,101.3
250.5,30343835,101.4
250.9,31330627,101.5
251.2,32317418,101.6
251.5,33304209,101.8
251.8,34291001,101.9
252.1,35277792,102.0
252.4,36264584,102.1
252.7,37251375,102.3
253.0,38238166,102.4
253.3,38978260,102.5
253.6,40088400,102.6
253.9,41075192,102.7
254.2,42185332,102.9
254.5,43295472,103.0
254.8,44282264,103.1
255.1,45392404,103.2
255.4,46625893,103.4
255.7,47736034,103.5
256.0,48846174,103.6
256.3,50079663,103.7
256.6,51313152,103.9
256.9,52423293,104.0
257.3,53656782,104.1
257.6,54890271,104.2
257.9,56123760,104.4
258.2,57480599,104.5
258.5,58714088,104.6
258.8,59947577,104.7
259.1,61304415,104.8
259.4,62537904,105.0
259.7,63894743,105.1
260.0,65251581,105.2
260.3,66608419,105.3
260.6,67965257,105.5
260.9,69445444,105.6
261.2,70802282,105.7
261.5,72159120,105.8
261.8,73639308,106.0
262.1,75119495,106.1
262.4,76599682,106.2
262.7,78079869,106.3
263.0,79560056,106.4
