Elevation_m,Storage_m3,Area_ha
365.8,7401,0
366.1,13568,0.2
366.4,20969,0.4
366.7,28370,0.6
367,35771,0.8
367.3,44405,1
367.6,53040,1.2
367.9,62908,1.4
368.2,72775,1.6
368.5,82643,1.8
368.8,94978,2
369.1,106079,2.2
369.4,118414,2.4
369.7,131983,2.6
370,145551,2.8
370.3,160353,3
370.6,175154,3.2
370.9,191190,3.4
371.2,207225,3.6
371.6,224494,3.8
371.9,242996,4
372.2,261498,4.9
372.5,282467,5.7
372.8,303437,6.5
373.1,325639,7.3
373.4,350309,8.1
373.7,374978,8.9
374,400882,9.7
374.3,429252,10.5
374.6,457622,11.3
374.9,488459,12.1
375.2,520529,12.5
375.5,553833,13
375.8,588371,13.4
376.1,624142,13.8
376.4,662380,14.2
376.7,701851,14.6
377,742556,15
377.3,785728,15.4
377.6,830133,15.8
378,875772,16.2
378.3,923878,17
378.6,974451,17.8
378.9,1028724,18.6
379.2,1085464,19.4
379.5,1145905,20.2
379.8,1208812,21
380.1,1275420,21.9
380.4,1344495,22.7
380.7,1417271,23.5
381,1493747,24.3
381.3,1573923,25.1
381.6,1656566,25.9
381.9,1744143,26.7
382.2,1835421,27.5
382.5,1929166,28.3
382.8,2027844,29.1
383.1,2130223,29.9
383.4,2237536,30.8
383.7,2348549,31.6
384,2463263,32.4
384.4,2582911,34.4
384.7,2708726,36.4
385,2840709,38.4
385.3,2977625,40.5
385.6,3120709,42.5
385.9,3271194,44.5
386.2,3426613,46.5
386.5,3589432,48.6
386.8,3758419,50.6
387.1,3933574,52.6
387.4,4116129,54.6
387.7,4306085,56.7
388,4502209,58.7
388.3,4705733,60.7
388.6,4917892,62.7
388.9,5136218,64.8
389.2,5361946,66.8
389.5,5596307,68.8
389.8,5838070,70.8
390.1,6088466,72.8
390.4,6346264,75.3
390.8,6611463,77.7
391.1,6884062,80.1
391.4,7164063,82.6
391.7,7451464,85
392,7747499,87.4
392.3,8050936,89.8
392.6,8361773,92.3
392.9,8681245,94.7
393.2,9008118,97.1
393.5,9344858,99.2
393.8,9689000,101.2
394.1,10041776,103.2
394.4,10401952,105.2
394.7,10771997,107.2
395,11150676,109.3
395.3,11537989,111.3
395.6,11935170,113.3
395.9,12334818,115.3
396.2,12766537,117.4
396.5,13198256,119.8
396.8,13568300,122.2
397.2,14061693,124.6
397.5,14555086,127.1
397.8,14925130,129.5
398.1,15418523,131.9
398.4,15911916,134.4
398.7,16405308,136.8
399,16898701,139.2
399.3,17392094,141.6
399.6,17885487,145.7
399.9,18378879,149.7
400.2,18872272,153.8
400.5,19365665,157.8
400.8,19982406,161.9
401.1,20475799,165.9
401.4,21092539,170
401.7,21585932,174
402,22202673,178.1
402.3,22819414,182.1
402.6,23436155,186.2
402.9,23929548,190.2
403.3,24546289,194.3
403.6,25163029,198.3
403.9,25779770,202.3
404.2,26396511,206.4
404.5,27136600,210.4
404.8,27753341,214.5
405.1,28370082,218.5
405.4,28986823,222.6
405.7,29726912,226.6
406,30343653,230.7
406.3,31083742,234.7
406.6,31700483,238.8
406.9,32440572,242.8
407.2,33180661,246.9
407.5,33920751,250.9
407.8,34537491,255
408.1,35277581,259
408.4,36017670,263.1
408.7,36757759,266.7
409,37621196,270.3
409.3,38361285,274
409.7,39101374,277.6
410,39964812,281.3
410.3,40704901,284.9
