,Site1,Site2,Site3,Site4,Site5,Site6,Site7
85,6735.0,6495.5,6659.0,7037.0,6902.5,7123.5,7113.5
86,6963.0,6664.0,6730.5,7104.5,7014.0,7122.5,7035.5
87,6896.5,6679.5,6877.5,7169.5,7040.5,7222.0,7137.5
88,7100.0,6722.0,6847.5,7193.0,7113.0,7338.5,7138.5
89,7121.5,6741.5,7058.5,7297.5,7248.5,7277.0,7174.5
90,7095.5,6792.5,6955.5,7291.5,7175.0,7371.0,7251.0
91,7217.0,6777.5,7013.5,7344.5,7200.0,7364.0,7264.5
92,7251.5,7002.0,7248.0,7390.5,7196.5,7356.0,7308.5
93,7180.0,7091.0,7215.0,7582.5,7402.0,7599.5,7446.0
94,7357.0,7037.5,7336.0,7610.0,7499.5,7663.5,7597.0
95,7290.5,7015.5,7253.5,7550.5,7401.5,7598.5,7506.0
96,7299.5,7096.5,7287.0,7736.5,7558.5,7686.5,7448.0
97,7587.5,7237.0,7242.5,7585.5,7441.5,7667.0,7552.0
98,7566.0,7148.5,7453.0,7738.0,7633.0,7751.0,7656.0
99,7502.5,7214.5,7351.0,7740.0,7590.0,7794.5,7604.5
100,7481.5,7269.0,7353.0,7764.0,7521.5,7754.0,7697.5
101,7591.5,7366.0,7492.5,7806.5,7684.0,7805.0,7635.0
102,7766.5,7315.5,7498.5,7883.0,7725.5,7883.5,7779.0
103,7769.0,7533.0,7605.5,7898.0,7754.0,7975.5,7929.5
104,7861.0,7506.5,7676.0,7972.5,7754.0,7960.5,7851.5
105,7819.5,7630.5,7660.0,7989.0,7876.0,8029.5,7818.0
106,7971.0,7639.5,7812.5,8101.5,7975.0,8084.5,7875.5
107,8005.0,7615.5,7742.0,8125.0,7951.5,8154.0,8045.5
108,8025.5,7634.0,7769.0,8040.5,7860.0,8090.5,8045.5
109,8105.0,7646.5,7801.0,8132.5,7844.5,8170.0,8032.5
110,8027.5,7581.0,7746.0,8103.0,7879.0,8198.0,7998.0
111,7959.5,7783.0,7944.0,8137.0,7957.5,8194.0,8125.0
112,8044.0,7946.5,7854.5,8354.0,8027.0,8188.5,8003.5
113,8186.0,7824.0,7852.5,8129.0,7951.5,8128.5,7980.5
