,SALEM_T,SALEM_W,EUGENE_T,EUGENE_W,SEATTLE_T,SEATTLE_W,BOISE_T,BOISE_W,PORTLAND_T,PORTLAND_W,SPOKANE_T,SPOKANE_W,PASCO_T,PASCO_W,FRESNO_T,FRESNO_W,LOS ANGELES_T,LOS ANGELES_W,SAN DIEGO_T,SAN DIEGO_W,SACRAMENTO_T,SACRAMENTO_W,SAN JOSE_T,SAN JOSE_W,SAN FRANCISCO_T,SAN FRANCISCO_W,TUCSON_T,TUCSON_W,PHOENIX_T,PHOENIX_W,LAS VEGAS_T,LAS VEGAS_W,OAKLAND_T,OAKLAND_W
SALEM_T,0.9258762438916611,0.3659544166783719,0.8658713930594781,0.2942885111525791,0.751025808424068,0.2805874939075786,0.6266379213800309,0.14509233230075397,0.807512685600002,-0.033792665629078754,0.6897471915315212,0.3074604692452143,0.6691400082731563,0.17629924710434858,0.35556753310672734,-0.08954901095684269,0.3114906249215207,-0.16145237507239202,0.31817611286475495,-0.17044585866294165,0.40319189787584553,-0.11863469974048498,0.41335768137972967,-0.05356730585704957,0.41343374715490105,-0.05383669476707797,0.20106825118016478,-0.022462950489913428,0.25566411483355367,-0.20060175932047516,0.31821133281409636,-0.17564349659578404,0.40591386715499167,-0.051632620463294414
SALEM_W,0.3671145718313877,1.0100570283703558,0.36072815620590115,0.9215637450777536,0.18149350518040025,0.6987806974477642,0.20587857006732913,0.41545707362470197,0.238965198629153,-0.01034466122227359,0.20842047327986826,0.5989455803880745,0.38967664990742756,0.5474364219990602,-0.038893725858205164,0.16305449323988092,-0.06433717586120986,0.08807856579319871,-0.03530733601947495,0.05172399675169011,0.007811748438807578,0.13554716599823982,-0.015620508145968713,0.17492922992649737,0.02713243908127086,0.15973620297918004,-0.005505756070530981,-0.12097700030422419,-0.020012706201426405,-0.0854348233558609,0.01078677922243761,0.04412528726631408,0.018620621565843466,0.1438315815490941
EUGENE_T,0.8658713930594781,0.36072815620590115,0.9550844256921948,0.32532191853133063,0.7072409997008207,0.2775771275589424,0.6562810504295893,0.17488323301988942,0.7678551009348998,-0.0596901923439489,0.6784580074224055,0.332766510105626,0.6602871911378779,0.1809541804595245,0.36410355418347173,-0.06681755362224126,0.28341618762178394,-0.15249624892907077,0.3025607031343814,-0.1643104684080908,0.4118923081313725,-0.10067073058403732,0.40907070887560754,-0.024023730750913484,0.39861973547834617,-0.036171098751548274,0.18640229471013622,-0.04232511413159524,0.24637479664319442,-0.2204002821864164,0.3214958601746051,-0.18589253117195767,0.4135836741992076,-0.04229455603576469
EUGENE_W,0.2942885111525791,0.9215637450777536,0.32624232338000814,1.0775823898660897,0.10758319310115096,0.6706015567120518,0.18756400258689962,0.4994336235575513,0.16834540585191246,0.0031361138282733378,0.14638625387355383,0.5436304477519479,0.29962512989110146,0.5030848520115465,-0.0210882050928016,0.2057113203186342,-0.11034160286064573,0.11238641827081516,-0.06054892368098229,0.09275569992810664,0.019189701311041273,0.1992420727794152,-0.01757917532983079,0.23430830791533286,0.014102678789848881,0.21243325310489258,0.0010098314310193763,-0.12934337950552505,-0.024733421409239655,-0.07972992094529084,0.019498054478397857,0.0673686897092028,0.025502729867269276,0.2166262041373507
SEATTLE_T,0.751025808424068,0.18149350518040025,0.7072409997008207,0.10758319310115096,0.9265085882207936,0.1808648635401887,0.5696584497797573,0.05818979163416426,0.7645285011846822,0.041253215299892045,0.7091561969619034,0.21211149767396106,0.617904622858755,0.057710894192743376,0.39042044067636406,-0.10905928400491191,0.41969272887433323,-0.1957070615057771,0.4091601245531703,-0.20570233714696282,0.41986243829902414,-0.13899063533986436,0.45102163736570905,-0.07022973353154137,0.45353185216174347,-0.1090624515975056,0.22622957139190447,0.051020860639736605,0.29531099833070573,-0.17020583649847,0.34297808357377396,-0.18349101923274702,0.41955179042430407,-0.08962379583459777
SEATTLE_W,0.2805874939075786,0.6987806974477642,0.2775771275589424,0.6706015567120518,0.18158226157427482,1.0821360065149384,0.19546965591568086,0.38216126615245405,0.19110017166998805,0.06948647940096632,0.16815266189920838,0.6962724975619294,0.3201021434424499,0.6395804334294252,0.0531345700164711,0.15351932978531724,0.02407897957678607,0.013586512134305166,0.04179646201387349,0.014024180629165946,0.08615668833193893,0.11963454385505687,0.07308212312250133,0.17362121822650067,0.0707307435100124,0.188792205135096,0.08904305346030537,-0.12695322128319325,0.06973678410649688,-0.13165015930137175,0.0670727885838703,-0.054972005372494914,0.06744036031694405,0.1403263199528789
BOISE_T,0.6266379213800309,0.20587857006732913,0.6562810504295893,0.18756400258689962,0.5696584497797573,0.19546965591568086,0.8839862290808752,0.2437152078101164,0.6271589768051998,-0.10737076944804211,0.6994353458672374,0.2978022668422847,0.6129832212179052,0.15107511713634733,0.4782897416525393,0.04139692213372412,0.2859693314122501,-0.11510478921201518,0.3286129008914589,-0.09446606371338032,0.4631946659409873,-0.018480727226743224,0.4533599446771567,0.06685669418476618,0.39288915448981027,0.0944305453779782,0.35557471906297167,0.04852049599644665,0.3947596519840578,-0.16751901813265604,0.43705969218988194,-0.17702170123411723,0.43318892769396894,0.08793810446059361
BOISE_W,0.14509233230075397,0.41545707362470197,0.17488323301988942,0.4994336235575513,0.05818979163416426,0.38216126615245405,0.24247750780024227,1.1140629688104426,0.11120080897845992,-0.010002475855540992,0.13682030604266962,0.4555267321409573,0.2281140644282645,0.35566925953403555,-0.02132945723655751,0.3440706132058358,-0.1095263580473659,0.17434338185112688,-0.09617926922564883,0.14808271781645574,0.04801175158813044,0.38864210536148047,0.03184341666418191,0.44202899494460135,0.049798536202902664,0.37634338737302603,-0.03065735472442921,-0.02335882307059369,-0.04410480334755666,0.012102991151663278,-0.02361123271195816,0.15761346735258025,0.06991266144265501,0.35207856249769176
PORTLAND_T,0.807512685600002,0.238965198629153,0.7678551009348998,0.16834540585191246,0.7645285011846822,0.19110017166998805,0.6271589768051998,0.11120080897845992,0.971506311768865,0.03951826924016221,0.7079513785701362,0.2748738362294312,0.6868567647467919,0.14889275865665597,0.37898603662704666,-0.0892338566261958,0.33742294902027703,-0.15871245785227664,0.35346113822342184,-0.16552787460491716,0.4091021954398996,-0.11911929247568119,0.41917182545872517,-0.0743920536389841,0.4116088419353447,-0.08085923586227106,0.20544468310392833,0.016538294350348072,0.2775364027673339,-0.1577071092771403,0.3323792010856829,-0.17601583390516856,0.40285124635490954,-0.05652789634635652
PORTLAND_W,-0.033792665629078754,-0.01034466122227359,-0.0596901923439489,0.0031361138282733378,0.041253215299892045,0.06948647940096632,-0.10737076944804211,-0.010002475855540992,0.0415770626714096,1.0018721836403288,-0.14850085012294384,-0.05921421388303586,-0.2270649378539092,-0.07769536967144658,0.13984317245164182,0.05281556823568992,0.06646426596085764,-0.04824503692383116,0.0838733140891045,-0.018453226423551256,0.05488468079159337,-0.028658667959470197,0.11587120044655798,0.05281010638968627,0.0812702925087657,-0.015583734705622843,0.05107017631302171,0.007239951482591647,0.04908652870231407,-0.022556021386371878,0.0212298197653858,-0.1058922047859488,0.08976091962237295,0.10334579578451869
