datetime,realization,ORO_inf,SHA_inf,FOL_inf,YRS_inf,MHB_inf,PAR_inf,NHG_inf,NML_inf,DNP_inf,EXC_inf,MIL_inf,PFT_inf,KWH_inf,SUC_inf,ISB_inf,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_evap,SHA_evap,FOL_evap,YRS_evap,MHB_evap,PAR_evap,NHG_evap,NML_evap,DNP_evap,EXC_evap,MIL_evap,PFT_evap,KWH_evap,SUC_evap,ISB_evap,ORO_precip,SHA_precip,FOL_precip,YRS_precip,MHB_precip,PAR_precip,NHG_precip,NML_precip,DNP_precip,EXC_precip,MIL_precip,PFT_precip,KWH_precip,SUC_precip,ISB_precip,ORO_fci,SHA_fci,FOL_fci,YRS_fci,MHB_fci,PAR_fci,NHG_fci,NML_fci,DNP_fci,EXC_fci,MIL_fci,PFT_fci,KWH_fci,SUC_fci,ISB_fci,ORO_snow,SHA_snow,FOL_snow,YRS_snow,MHB_snow,PAR_snow,NHG_snow,NML_snow,DNP_snow,EXC_snow,MIL_snow,PFT_snow,KWH_snow,SUC_snow,ISB_snow,ORO_gains,SHA_gains,FOL_gains,YRS_gains,MHB_gains,PAR_gains,NHG_gains,NML_gains,DNP_gains,EXC_gains,MIL_gains,PFT_gains,KWH_gains,SUC_gains,ISB_gains,SAC_gains,SJ_gains,delta_depletions,CCC_pump,BRK_pump,EAST_gains
1/11/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5840.180912,30800.4881,3113.836019,0,85.59478644,605.218402,171.6028954,1079.864894,867.6909695,483.592047,503.0472741,481.9916593,79.30071307,172.3945817,667.5930932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5695.052304,25858.54689,2757.983566,0,94.40594986,626.2401888,181.0803609,1013.793614,1360.321655,453.1514665,429.3051771,712.0350141,83.26679024,148.5531763,736.4455507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5840.180912,25871.3831,2457.526596,0,148.5364788,643.7647967,169.2367614,845.6354784,1424.396931,440.7559947,559.6791901,513.4972672,77.98007603,137.5493067,692.6398458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864.94238,36509.3929,2592.000402,0,266.8532146,630.9116969,462.7408094,965.7557565,1029.044162,374.2492892,472.7631815,639.4645224,77.98007603,132.0464354,652.9911916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6816.865909,31318.75011,2959.745096,0,216.5016177,577.1764483,530.2079514,1065.445846,1428.676541,440.7559947,450.3781344,516.2284889,91.19616721,128.3791032,751.0474523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8523.854777,26996.15608,2900.182247,0,169.9274887,625.0787641,428.4254022,927.3177802,862.3414567,436.2386945,771.6943457,443.6579972,136.1339323,130.2127693,634.2113496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10366.65059,27634.75758,2932.504749,4562.168299,153.5731026,653.1207178,2267.609689,1133.913892,805.7079483,463.2943113,974.4983658,690.1300643,486.3860389,132.0464354,746.8695119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21266.24301,31010.68105,2767.33473,4501.17702,250.4841871,649.6106343,1998.930653,917.7050819,2421.427231,452.0311761,1401.152857,609.3383194,446.7252673,135.7156406,636.3003198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21786.97024,27557.74031,2020.867887,4421.403317,697.338138,590.0295481,1243.849468,1054.641173,2984.552607,450.8988395,1150.967816,609.3383194,211.4685682,139.3829728,705.1527772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33900.30711,26280.53733,1728.847294,4541.115472,973.0054443,2077.401615,630.8009687,914.1035242,3938.786805,473.4492022,1436.672055,1074.91506,186.3611889,139.3829728,607.0965165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
