,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,104.17,105.77,123.57,130.8,131.56,144.55,138.59
1,107.25,112.1,124.52,130.1,127.02,137.26,135.76
2,109.37,112.1,121.32,131.74,127.84,139.66,140.52
3,108.77,107.27,121.49,131.95,127.43,141.84,138.25
4,108.64,107.7,119.69,132.0,131.88,138.98,139.8
5,109.31,114.05,126.33,131.46,130.04,141.72,138.81
6,109.15,108.76,119.01,133.21,128.08,139.42,140.05
7,108.92,108.98,126.67,132.55,130.43,141.83,140.85
8,107.56,112.52,123.89,135.18,137.91,142.23,144.57
9,109.57,115.13,127.8,135.97,128.16,143.38,140.24
10,107.53,113.33,127.9,135.97,131.81,143.92,141.07
11,109.74,114.16,125.39,138.47,131.79,144.25,141.1
12,109.64,113.94,132.3,137.38,137.96,146.19,145.97
13,118.27,112.25,130.57,136.98,144.69,145.37,145.23
14,114.28,115.93,130.38,136.42,132.33,146.05,145.3
15,122.68,117.92,127.55,141.65,139.2,147.96,146.34
16,118.69,132.42,128.74,145.19,138.79,154.02,152.64
17,131.4,132.25,135.35,145.46,137.04,154.01,152.18
18,130.08,128.18,137.61,147.14,139.12,154.91,155.02
19,121.63,128.46,132.79,154.31,144.81,158.54,157.22
20,122.4,136.83,139.49,147.33,142.6,157.49,161.67
21,131.2,128.58,133.97,149.04,145.23,155.48,158.42
22,131.2,140.02,139.5,155.06,151.37,159.38,156.64
23,135.32,134.89,139.75,153.33,147.53,160.54,159.27
24,133.79,137.07,144.79,153.93,148.44,159.96,158.84
25,136.86,136.7,151.32,156.43,155.34,164.05,165.87
26,137.91,137.06,145.39,160.18,153.42,164.6,162.6
27,147.28,136.89,152.16,159.92,155.33,167.3,163.39
28,141.44,147.0,153.5,159.66,162.95,166.98,165.67
29,145.26,140.57,158.76,164.22,165.12,167.38,165.85
30,147.23,146.02,154.24,161.13,154.31,173.32,169.03
31,146.25,149.32,157.66,167.88,155.29,172.26,171.28
32,148.59,152.11,159.32,168.25,160.09,176.45,174.89
33,148.58,150.91,168.82,160.87,160.4,178.88,178.35
34,152.15,153.56,160.82,164.95,161.21,174.93,173.85
35,150.16,154.71,159.37,169.75,166.61,172.16,172.7
36,156.46,150.88,162.95,170.6,168.82,176.51,181.26
37,149.68,155.9,162.41,172.78,164.49,180.69,184.21
38,148.12,162.84,166.68,177.02,172.52,180.64,184.11
39,154.34,151.46,163.59,174.82,175.95,185.95,179.88
40,164.05,158.91,169.35,175.73,173.66,184.62,190.57
41,157.35,156.53,169.93,182.64,182.4,186.47,186.28
42,164.42,169.93,182.09,186.28,175.4,198.93,188.66
43,163.85,166.93,176.2,187.74,178.41,193.49,193.12
44,166.73,166.72,186.17,192.79,184.27,191.63,194.35
45,170.83,175.04,182.82,191.16,184.38,206.45,204.3
46,175.1,181.61,181.54,189.92,177.29,198.69,195.77
47,182.34,176.82,181.1,188.88,184.79,197.07,198.94
48,164.8,181.59,185.98,194.1,185.08,198.65,203.33
49,176.35,176.74,191.94,197.8,185.78,205.88,205.27
50,187.15,192.3,198.99,197.29,194.54,206.12,202.02
51,189.73,195.72,200.39,196.08,190.76,206.54,203.86
52,188.14,202.42,216.57,197.7,187.35,213.83,203.7
53,192.32,195.67,200.36,203.44,199.42,212.56,207.91
54,194.69,193.0,200.28,208.08,206.68,212.31,210.98
55,194.56,196.65,200.35,210.4,202.27,215.71,216.63
56,187.06,189.08,206.52,214.88,206.8,217.14,216.11
57,195.09,202.67,208.04,221.03,210.09,224.12,217.56
58,191.16,198.23,203.38,213.91,210.98,220.36,220.58
59,200.86,203.64,206.93,213.75,217.77,220.46,216.3
60,211.14,211.18,209.62,220.22,205.82,233.64,226.88
61,210.5,213.26,216.22,223.1,217.96,233.85,228.79
62,228.33,220.51,221.07,230.23,214.25,234.96,230.45
63,229.82,218.99,227.18,224.93,210.16,235.79,238.22
64,223.97,227.42,225.02,233.71,211.56,236.38,235.51
65,235.6,227.72,234.47,237.49,235.32,242.02,247.78
66,234.87,235.83,235.05,241.88,234.85,243.44,236.91
67,243.45,234.11,240.56,238.78,226.77,246.97,238.87
68,243.52,225.86,235.32,241.68,233.94,249.24,244.09
69,242.14,236.81,238.04,239.76,219.62,248.27,245.73
70,242.12,233.56,237.3,246.51,242.46,255.42,251.68
71,238.61,236.38,249.85,243.29,239.95,252.91,249.67
72,242.2,242.22,242.26,244.7,244.69,255.78,244.06
73,248.05,235.84,245.23,251.17,248.09,255.46,251.64
74,244.85,245.97,240.71,251.08,234.15,251.9,251.35
75,245.05,248.92,255.21,266.92,231.51,268.89,252.98
76,261.21,253.47,259.65,254.96,242.31,258.21,252.99
77,269.17,253.47,258.24,257.76,251.04,263.17,261.39
78,273.51,257.05,252.49,256.74,243.29,261.58,254.23
79,272.39,263.81,259.09,262.51,250.5,266.88,271.98
80,272.75,265.26,262.88,264.78,241.76,267.53,261.36
81,272.69,263.39,260.07,265.0,249.45,270.31,266.2
82,283.97,261.7,278.51,267.93,266.46,272.61,265.76
83,278.18,272.15,273.3,271.2,250.96,274.98,266.79
84,278.45,266.17,270.35,274.4,261.18,278.5,271.46
85,283.63,267.22,269.75,283.01,265.4,282.31,270.63
86,282.17,276.23,276.06,280.29,268.81,282.12,279.14
87,292.05,285.74,284.6,285.07,274.19,288.24,282.04
88,294.76,275.7,278.86,286.53,280.44,288.57,285.5
89,293.46,279.02,283.34,283.33,276.04,289.04,289.5
90,290.66,274.3,280.22,286.24,264.08,286.48,285.34
91,290.39,281.88,288.48,276.41,269.96,288.65,280.38
92,282.87,278.32,283.36,295.3,267.88,289.42,280.12
93,298.31,285.63,278.53,278.09,268.23,291.55,278.02
94,294.12,286.14,298.36,285.91,291.74,294.42,283.38
95,304.82,287.54,298.55,288.94,284.07,297.07,284.4
96,300.33,283.7,284.08,288.81,282.0,293.89,287.74
97,292.38,280.07,287.23,285.95,286.55,300.38,285.35
98,314.1,288.6,297.87,295.46,300.78,302.33,294.86
99,309.42,292.47,301.55,297.01,287.61,307.11,289.05
100,307.15,289.85,304.16,299.3,274.46,309.26,289.72
101,320.05,293.7,297.49,303.93,301.49,311.73,296.32
102,320.67,290.9,313.02,309.65,295.58,315.13,300.23
103,302.11,292.27,303.78,302.78,305.51,303.08,310.46
104,311.92,297.92,303.86,308.32,299.15,303.19,302.53
105,321.13,311.86,323.6,299.34,301.02,305.37,303.17
106,325.59,313.34,314.31,298.76,283.02,306.31,297.68
107,326.94,306.1,310.92,311.19,303.54,311.36,303.94
108,331.58,307.05,321.95,314.21,298.34,321.1,302.22
109,334.96,312.56,328.41,326.77,289.54,314.72,302.4
110,331.83,308.78,319.16,315.52,322.21,317.6,307.11
111,329.42,311.23,322.91,315.08,304.71,322.97,307.72
112,337.96,317.84,320.25,311.81,297.53,313.1,308.19
113,338.03,310.88,326.96,324.29,302.44,321.61,308.24
114,343.85,318.77,312.21,323.31,315.39,326.6,309.18
115,346.34,312.94,325.94,313.61,317.95,320.87,313.03
116,342.58,320.67,332.01,325.04,321.56,324.89,305.2
117,353.93,328.18,330.99,318.63,308.1,318.08,315.63
118,348.31,325.97,337.21,327.73,325.15,329.21,322.88
119,351.59,321.68,325.19,328.97,316.35,326.67,321.1
120,349.35,330.07,328.41,318.85,297.05,324.14,312.7
121,348.16,322.89,340.48,324.14,305.58,331.81,315.17
122,344.91,321.11,332.79,323.6,331.23,327.62,312.36
123,346.37,324.21,335.31,327.44,320.86,327.27,323.93
124,343.9,342.03,339.13,323.84,312.83,324.22,314.96
125,356.5,322.42,332.88,329.53,314.68,325.67,312.82
126,357.85,331.71,333.35,331.23,311.21,329.61,322.34
127,354.84,329.37,334.19,336.31,314.17,330.77,320.89
128,354.88,326.84,333.0,326.81,314.55,331.81,318.3
129,356.48,333.08,336.93,331.67,312.98,328.4,317.51
130,360.97,334.06,344.14,335.67,312.96,336.32,325.08
131,364.19,331.74,330.76,331.32,318.99,337.62,323.24
132,356.48,334.58,338.42,337.86,319.68,341.17,326.03
133,358.38,336.76,341.09,336.25,313.78,338.76,326.18
134,357.97,335.71,339.5,337.8,331.82,334.49,321.38
135,359.56,334.74,330.21,345.97,318.5,331.17,314.53
136,371.0,341.02,335.91,332.39,321.2,332.91,323.07
137,357.24,347.72,334.12,343.71,324.47,339.84,320.61
138,361.03,340.81,339.81,349.18,322.23,335.41,336.82
139,359.33,333.4,340.19,334.43,315.5,333.43,321.51
140,360.37,330.5,338.21,344.21,315.23,337.7,319.38
141,366.84,339.94,340.72,342.77,323.85,341.58,324.62
142,359.4,345.87,348.55,346.37,332.03,341.52,331.59
143,360.05,350.4,345.52,343.5,319.08,337.02,323.18
144,366.2,343.53,345.12,341.32,324.29,336.85,328.31
145,365.65,342.31,339.11,350.54,336.14,345.95,338.47
146,358.93,339.33,341.31,350.67,330.78,356.31,335.92
147,364.45,342.05,343.46,351.62,345.19,354.76,335.34
148,369.9,343.35,340.76,344.47,335.93,340.59,326.63
149,368.99,346.01,340.06,342.99,327.79,342.22,331.95
150,375.35,341.67,337.31,342.1,335.82,339.02,326.23
151,375.83,343.61,337.08,336.2,326.2,335.06,326.5
152,371.75,340.87,342.11,339.12,319.35,332.89,324.42
153,367.41,347.92,335.97,336.75,322.2,336.85,318.67
154,376.44,342.27,339.11,341.64,328.89,339.39,328.29
155,373.12,345.66,335.17,343.34,330.21,338.52,321.98
156,375.13,345.66,341.7,342.65,329.86,349.37,337.68
157,376.96,353.14,340.2,341.68,328.17,348.05,330.74
158,369.76,341.78,342.07,350.2,332.81,348.47,335.68
159,373.64,345.84,337.7,341.58,335.68,337.96,325.49
160,378.1,343.79,342.37,341.55,324.12,337.12,324.25
161,375.71,342.91,338.97,339.67,331.78,341.81,326.07
162,378.1,345.68,337.15,350.27,332.88,347.74,323.63
163,389.33,344.19,351.3,350.63,336.14,348.31,327.53
164,377.98,348.58,344.24,334.67,317.21,346.54,332.92
165,373.36,341.96,336.94,344.93,322.17,333.4,314.87
166,375.16,354.79,343.9,348.85,336.54,340.72,320.37
167,379.46,344.39,343.88,348.93,334.34,341.62,333.26
168,378.51,351.52,343.98,346.35,341.26,337.75,320.58
169,373.82,344.02,342.02,349.81,336.09,355.51,330.17
170,373.77,345.84,335.57,341.27,331.06,344.21,321.41
171,374.69,348.05,343.03,340.86,331.49,339.31,317.43
172,373.71,343.31,338.87,336.94,326.13,345.21,319.18
173,375.72,345.91,338.73,339.81,324.4,337.51,320.1
174,374.18,350.31,339.89,339.04,330.02,345.35,317.4
175,377.82,344.04,343.73,343.44,336.45,337.48,322.87
176,374.07,343.99,339.99,345.62,331.31,341.97,319.08
177,378.33,344.31,337.85,346.16,325.89,339.4,321.46
178,375.72,344.28,341.38,343.46,325.92,338.47,323.5
179,376.01,345.55,340.13,340.94,328.44,337.56,321.0
180,376.6,346.59,335.84,330.81,316.66,333.92,317.55
181,378.98,344.29,333.11,331.25,329.22,331.03,302.66
182,370.54,342.85,333.93,327.72,342.58,329.45,303.56
183,371.71,345.68,335.17,331.88,323.26,325.2,305.88
184,379.25,341.81,340.27,334.48,335.99,326.31,297.99
185,370.24,342.19,337.88,332.01,323.0,321.82,307.8
186,364.27,345.94,336.94,333.09,322.41,326.58,298.08
187,364.24,338.55,332.18,332.76,322.07,331.47,303.41
188,366.18,346.79,334.93,326.15,309.33,328.59,309.64
189,373.71,343.36,339.14,322.59,317.69,328.95,298.08
190,366.49,340.17,333.87,327.36,322.58,321.86,294.79
191,374.11,341.35,331.8,322.62,319.44,325.35,305.06
192,364.31,336.96,332.11,326.19,327.67,327.01,296.01
193,363.66,337.99,331.75,326.21,316.12,323.62,299.78
