datetime,Site1,Site2,Site3,Site4,Site5,Site6,Site7
2035-01-01,68.42,89.0,101.61,114.83,106.33,126.79,133.06
2035-01-02,103.32,73.38,67.76,84.35,78.23,105.92,106.24
2035-01-03,104.14,83.61,107.76,119.62,119.13,122.47,130.7
2035-01-04,67.32,77.3,102.55,118.99,119.93,124.21,126.46
2035-01-05,91.13,73.54,51.98,98.77,83.17,121.34,125.46
2035-01-06,51.18,44.26,75.46,113.14,99.39,123.68,100.57
2035-01-07,101.91,80.63,59.24,65.74,52.44,60.92,49.69
2035-01-08,95.37,91.92,68.01,70.96,61.89,79.65,85.23
2035-01-09,92.57,72.31,95.13,88.9,98.51,87.54,84.5
2035-01-10,42.5,42.47,57.36,65.2,72.31,75.89,71.47
2035-01-11,63.17,94.97,127.63,127.94,107.59,135.75,125.82
2035-01-12,102.85,104.99,103.4,121.38,119.7,135.97,135.75
2035-01-13,100.01,86.75,47.05,76.98,89.86,95.84,115.21
2035-01-14,61.6,39.85,53.34,70.35,51.0,80.22,86.29
2035-01-15,98.68,90.47,80.82,69.28,56.09,56.55,41.06
2035-01-16,118.32,109.33,109.77,106.26,120.01,84.81,75.95
2035-01-17,88.25,64.43,47.05,73.32,58.17,102.96,126.28
2035-01-18,51.29,35.99,63.03,119.07,99.45,96.23,97.72
2035-01-19,76.0,63.93,63.66,55.65,45.27,81.12,97.84
2035-01-20,107.42,54.91,57.53,72.75,45.59,104.0,111.66
2035-01-21,112.51,116.42,94.46,87.35,92.96,111.75,117.54
2035-01-22,111.51,117.88,127.18,143.78,126.46,149.06,144.71
2035-01-23,70.25,46.8,85.34,124.68,80.65,106.13,95.42
2035-01-24,90.04,71.46,68.55,68.94,68.36,74.88,60.8
2035-01-25,109.6,105.52,116.46,147.1,136.99,148.63,144.04
2035-01-26,66.81,68.14,89.92,134.63,105.99,157.49,152.27
2035-01-27,73.45,96.16,107.68,127.49,98.85,127.81,104.4
2035-01-28,128.03,136.89,140.02,146.24,120.92,139.31,139.11
2035-01-29,139.97,136.95,147.55,154.99,157.48,145.6,154.86
2035-01-30,135.84,140.86,148.52,150.86,163.08,165.3,151.01
2035-01-31,130.13,133.56,145.58,158.15,152.64,164.11,166.13
2035-02-01,136.6,132.53,143.0,151.93,148.11,164.94,160.48
2035-02-02,124.63,134.57,142.58,163.28,149.22,167.61,172.62
2035-02-03,87.2,97.6,132.3,166.65,147.65,165.03,168.35
2035-02-04,66.82,88.7,136.28,160.66,150.9,167.25,169.45
2035-02-05,132.12,143.18,149.4,162.13,151.23,170.62,168.16
2035-02-06,110.17,119.63,132.95,161.13,148.09,173.05,171.87
2035-02-07,117.33,141.84,169.76,155.26,135.02,171.86,174.64
2035-02-08,96.43,140.0,162.59,171.87,150.39,175.61,171.87
2035-02-09,130.53,149.84,148.6,171.4,147.79,175.99,173.03
2035-02-10,118.35,115.89,129.08,164.99,166.66,180.02,177.04
2035-02-11,104.65,120.04,162.67,177.23,165.44,181.47,178.39
2035-02-12,92.89,80.97,109.2,169.76,127.78,181.3,178.3
2035-02-13,151.4,162.1,123.56,134.82,114.79,118.63,91.93
2035-02-14,175.42,179.8,177.25,123.61,129.63,93.67,72.42
2035-02-15,168.81,181.25,135.43,136.65,120.91,154.91,143.48
2035-02-16,147.99,123.7,99.73,130.26,105.07,163.74,175.74
2035-02-17,149.13,119.33,68.7,92.76,84.52,131.76,152.64
2035-02-18,99.18,91.47,80.61,113.38,47.85,164.78,178.74
2035-02-19,132.4,91.04,93.9,114.07,64.73,161.32,178.69
2035-02-20,118.71,90.28,90.92,103.1,87.78,132.45,145.09
2035-02-21,94.3,95.51,101.27,123.22,106.64,103.65,92.25
2035-02-22,109.74,112.4,90.07,103.04,76.05,99.36,97.29
2035-02-23,113.64,141.2,136.21,123.2,96.81,157.07,154.89
2035-02-24,154.54,137.86,130.53,178.45,170.87,176.16,160.47
2035-02-25,184.31,182.6,178.63,188.41,192.63,204.7,206.28
2035-02-26,190.25,189.06,197.78,199.32,193.75,211.02,206.95
2035-02-27,195.27,192.24,201.43,205.83,187.8,214.56,216.35
2035-02-28,204.22,201.19,200.41,207.61,203.98,212.67,215.35
2035-03-01,113.25,136.27,195.53,213.14,191.65,219.38,210.28
2035-03-02,142.01,171.89,152.81,202.84,179.44,226.77,212.17
2035-03-03,133.74,163.1,221.16,229.09,203.22,225.55,218.98
2035-03-04,121.07,133.34,113.38,163.04,123.47,207.46,219.16
2035-03-05,169.99,209.97,185.08,176.91,219.0,166.83,146.29
2035-03-06,232.67,216.79,202.99,167.11,159.55,184.53,178.75
2035-03-07,206.99,223.47,239.12,217.07,204.36,217.25,221.1
2035-03-08,185.67,211.52,227.67,219.54,206.0,235.69,227.14
2035-03-09,187.96,211.3,230.96,230.77,201.34,237.23,235.03
2035-03-10,176.55,178.21,220.77,232.9,217.77,241.34,235.27
2035-03-11,148.53,139.89,201.75,218.37,194.37,221.32,223.89
2035-03-12,157.91,196.8,224.42,233.71,193.34,237.71,237.74
