pool_elev_m,release_cap_cms
295.25976,0
295.656,12.452
295.9608,29.432
296.2656,50.374
296.5704,74.712
296.8752,102.446
297.18,133.01
297.4848,165.838
297.7896,200.93
298.0944,238.286
298.3992,277.906
298.704,319.224
299.0088,362.806
299.3136,407.52
299.6184,454.498
299.9232,503.174
300.228,552.982
300.5328,605.054
300.8376,658.258
301.1424,712.594
301.4472,768.628
301.752,826.36
302.0568,885.224
302.3616,945.22
302.6664,1006.914
302.9712,1069.74
303.276,1133.698
303.5808,1198.788
303.8856,1265.576
304.1904,1332.93
304.4952,1401.982
304.8,1471.6
305.1048,1542.916
305.4096,1615.364
305.7144,1688.378
306.0192,1763.09
306.324,1838.368
306.6288,1914.778
306.9336,1992.32
307.2384,2070.994
307.5432,2150.234
307.848,2230.606
308.1528,2312.11
308.4576,2394.746
308.7624,2478.514
309.0672,2562.848
309.372,2647.748
