pool_elev_m,release_cap_cms
103.632,0
103.9368,5.094
104.0892,8.49
104.2416,11.9992
104.5464,20.1213
104.8512,30.5923
105.156,41.7425
105.4608,54.619
105.7656,72.1084
106.0704,87.3621
106.3752,98.4557
106.68,108.3607
106.9848,116.5677
107.2896,125.3124
107.5944,132.8968
107.8992,140.4812
108.204,148.0373
108.5088,155.0274
108.8136,162.0458
109.1184,169.0076
109.2708,172.2055
109.4232,187.2894
109.728,217.4572
110.0328,262.907
110.3376,317.9505
110.6424,381.5123
110.9472,450.7058
111.252,525.5876
111.5568,604.9691
111.8616,691.1426
112.1664,781.8441
112.4712,875.3756
112.776,974.0011
113.0808,1076.0226
113.3856,1182.5721
113.6904,1292.5176
113.8428,1348.8912
113.9952,1405.65817
114.3,1522.58528
114.6048,1642.91122
114.9096,1768.33116
115.2144,1895.44627
115.5192,2025.96021
115.824,2161.56815
116.4336,2167.8932
