pool_elev_m,release_cap_cms
354.0252,0
354.4824,23.772
354.7872,50.94
355.092,84.051
355.3968,123.105
355.7016,166.404
356.0064,213.948
356.3112,264.888
356.616,319.224
356.9208,376.956
357.2256,438.084
357.5304,502.608
357.8352,569.679
358.14,639.297
358.4448,711.462
358.7496,786.174
359.0544,863.433
359.3592,943.239
359.664,1025.592
359.9688,1109.643
360.2736,1196.241
360.5784,1284.537
360.8832,1375.38
361.188,1467.921
361.4928,1563.009
361.7976,1659.795
362.1024,1758.279
362.4072,1858.461
362.712,1961.19
363.0168,2064.768
363.3216,2170.893
363.6264,2278.716
363.9312,2388.237
364.236,2498.607
364.5408,2611.524
364.8456,2726.139
365.1504,2841.603
365.4552,2959.614
365.76,3078.474
366.0648,3199.032
366.3696,3321.288
366.6744,3445.242
366.9792,3570.894
367.284,3697.395
367.5888,3825.594
367.8936,3955.491
368.1984,4086.237
368.5032,4218.681
368.808,4352.823
