pool_elev_m,release_cap_cms
181.901592,0
182.2704,19.04
182.5752,46.648
182.88,80.92
183.1848,121.856
183.4896,168.504
183.7944,218.96
184.0992,273.224
184.404,332.248
184.7088,395.08
185.0136,460.768
185.3184,530.264
185.6232,603.568
185.928,678.776
186.2328,756.84
186.5376,838.712
186.8424,922.488
187.1472,1009.12
187.452,1098.608
187.7568,1190
188.0616,1284.248
188.3664,1381.352
188.6712,1479.408
188.976,1581.272
189.2808,1684.088
189.5856,1789.76
189.8904,1897.336
190.1952,2006.816
190.5,2118.2
190.8048,2231.488
191.1096,2347.632
191.4144,2464.728
191.7192,2584.68
192.024,2705.584
192.3288,2828.392
192.6336,2954.056
192.9384,3080.672
193.2432,3209.192
193.548,3338.664
193.8528,3470.992
194.1576,3604.272
194.4624,3740.408
194.7672,3876.544
195.072,4015.536
195.3768,4155.48
