pool_elev_m,release_cap_cms
219.456,0
220.46184,0
225.552,98.1444
228.6,175.2336
231.648,234.324
234.696,279.1512
237.744,321.7144
240.792,357.4856
243.84,390.0872
246.888,420.0852
249.6312,445.24956
249.936,670.4836
252.984,696.8592
256.032,721.7632
259.08,745.0258
262.128,768.2884
265.176,790.136
268.224,811.078
270.51,826.36
270.9672,866.2064
271.272,909.279
271.5768,963.59236
271.8816,1024.98072
272.1864,1093.44408
272.4912,1167.56744
272.796,1248.7658
273.1008,1335.62416
273.4056,1426.72752
273.7104,1522.07588
274.0152,1623.08424
274.32,1728.3376
274.6248,1837.77936
274.9296,1950.05112
275.2344,2067.98288
275.5392,2188.74464
275.844,2313.7514
276.1488,2441.58816
276.4536,2573.66992
276.7584,2708.58168
277.0632,2846.32344
277.368,2988.3102
277.6728,3133.05338
277.9776,3280.62656
278.2824,3431.02974
278.5872,3584.26292
278.892,3741.7411
279.1968,3900.63428
279.5016,4062.35746
279.8064,4226.91064
280.1112,4395.70882
280.416,4565.922
280.7208,4737.55018
281.0256,4913.42336
281.3304,5092.12654
281.6352,5272.24472
281.94,5455.1929
282.2448,5639.55608
282.5496,5828.16426
282.8544,6018.18744
283.1592,6211.04062
283.464,6405.3088
283.7688,6602.3334
284.0736,6800.773
284.3784,7002.0426
284.6832,7206.1422
286.512,7216.6698
