pool_elev_m,release_cap_cms
103.632,0
103.9368,5.094
104.2416,11.886
104.5464,19.81
104.8512,29.998
105.156,40.752
105.4608,53.204
105.7656,70.184
106.0704,84.9
106.3752,95.654
106.68,105.276
106.9848,113.2
107.2896,121.69
107.5944,129.048
107.8992,136.406
108.204,143.764
108.5088,150.556
108.8136,157.348
109.1184,164.14
109.4232,170.366
109.728,176.592
110.0328,182.818
110.3376,188.478
110.6424,194.138
110.9472,198.666
111.252,203.76
111.5568,208.288
111.8616,212.816
112.1664,216.778
112.4712,220.174
112.776,223.57
113.0808,226.966
113.3856,229.796
113.6904,232.626
113.8428,233.758
116.4336,259.4544
