pool_elev_m,release_cap_cms
204.22,0.00
204.52,1.13
204.83,2.83
205.13,5.09
205.44,7.36
205.74,9.91
206.04,12.74
206.35,15.85
206.65,18.96
206.96,22.36
207.26,26.32
207.57,30.85
207.87,35.94
208.18,41.04
208.48,46.13
208.79,51.22
209.09,56.32
209.40,61.69
209.70,66.51
210.01,70.41
210.31,73.81
210.62,76.86
210.92,79.69
211.23,82.35
211.53,84.90
211.84,87.33
212.14,89.65
212.45,91.86
212.75,93.96
213.06,95.94
213.36,97.86
213.66,99.73
213.97,101.54
214.27,103.30
214.58,104.99
214.88,106.63
215.19,108.22
215.49,109.80
215.80,111.33
216.10,112.86
216.41,114.33
219.46,126.78
222.50,138.10
225.55,148.29
228.60,157.35
231.65,166.12
234.70,174.89
237.74,182.82
240.79,190.18
241.28,191.35
241.40,193.91
241.71,205.40
242.01,221.42
242.32,241.40
242.62,264.21
242.93,289.85
243.23,318.32
243.54,348.49
243.84,380.92
244.14,415.05
244.45,450.88
244.75,488.97
245.06,528.19
245.36,569.11
245.67,611.73
245.97,656.05
246.28,701.50
246.58,748.08
246.89,796.36
247.19,845.72
247.50,896.77
247.80,948.39
248.11,1001.71
248.41,1056.16
248.72,1111.74
249.02,1168.45
249.33,1226.30
249.63,1284.71
249.94,1344.82
250.24,1406.06
250.55,1467.86
250.85,1530.80
251.16,1594.87
251.46,1660.08
251.76,1725.85
252.07,1792.75
252.37,1860.78
252.68,1929.38
252.98,1999.11
253.29,2069.44
253.59,2141.46
253.90,2213.48
254.20,2287.21
255.73,2287.21
