pool_elev_m,release_cap_cms
469.7,0
470.31,66.222
470.61,122.256
470.92,188.478
471.22,263.19
471.53,346.392
471.83,436.386
472.14,533.172
472.44,635.052
472.74,743.724
473.05,859.188
473.35,978.048
473.66,1103.7
473.96,1232.748
474.27,1366.89
474.57,1506.126
474.88,1648.758
475.18,1796.484
475.49,1949.304
475.79,2105.52
476.1,2265.132
476.4,2428.14
476.71,2596.242
477.01,2767.74
477.32,2942.634
477.62,3119.226
477.93,3302.61
478.23,3487.692
478.54,3676.17
478.84,3866.346
479.15,4061.616
479.45,4260.282
479.76,4460.646
481.5,4460.646
