pool_elev_m,release_cap_cms
402.6408,0
402.9456,6.792
403.2504,18.678
403.5552,33.96
403.86,52.072
404.1648,73.014
404.4696,96.22
404.7744,121.124
405.0792,147.726
405.384,176.592
405.6888,206.59
405.9936,238.286
406.2984,271.68
406.6032,306.206
406.908,342.43
407.2128,379.786
407.5176,418.274
407.8224,458.46
408.1272,499.212
408.432,541.662
408.7368,584.678
409.0416,629.392
409.3464,674.672
409.6512,721.084
409.956,768.628
410.2608,817.304
410.5656,866.546
410.8704,916.92
411.1752,968.426
411.48,1021.064
411.7848,1074.268
412.0896,1128.604
412.3944,1183.506
412.6992,1239.54
413.004,1296.14
413.3088,1353.872
413.6136,1412.17
415.14,1412.17
