pool_elev_m,release_cap_cms
406.908,0
411.48,0
412.0896,96.6162
414.528,112.8604
417.576,130.2932
420.624,145.6884
423.672,159.612
426.72,172.4036
429.768,184.2896
432.816,191.308
433.4256,194.0248
434.0352,196.7416
434.6448,199.4584
435.2544,202.1752
435.864,204.892
436.4736,207.6088
437.0832,210.3256
437.6928,213.0424
438.3024,215.7592
438.912,218.7024
439.5216,221.6456
440.1312,224.3624
440.7408,227.1358
441.3504,229.9092
441.96,232.626
442.5696,235.3994
443.1792,238.1728
443.7888,240.9462
444.3984,243.663
445.008,246.4364
445.6176,249.2098
446.2272,251.9266
446.8368,254.7
447.4464,257.3602
448.056,260.0204
448.6656,262.6806
449.2752,265.3408
449.8848,268.0576
450.4944,270.7178
451.104,273.378
451.7136,275.925
452.3232,278.472
452.9328,281.019
453.5424,283.566
454.152,286.113
454.7616,288.66
455.3712,291.207
455.9808,293.754
456.5904,296.301
457.2,298.848
457.8096,301.3384
458.4192,303.8288
459.0288,306.3192
459.6384,308.8096
460.248,311.3
460.8576,313.564
461.4672,315.828
462.0768,318.092
462.6864,320.356
463.296,322.62
463.9056,324.7708
464.5152,326.9216
465.1248,329.0724
465.7344,331.2232
466.344,333.374
466.9536,335.072
467.5632,336.77
468.1728,338.468
468.7824,340.166
469.392,341.864
470.0016,343.562
470.6112,345.26
471.8304,348.656
473.0496,352.052
474.2688,355.448
475.488,358.844
476.7072,361.8438
477.9264,364.8436
479.7552,369.315
481.2792,369.315
