pool_elev_m,release_cap_cms
450.723,0
460.248,121.124
463.296,145.745
466.344,164.14
469.392,179.705
472.44,194.421
475.488,208.005
478.536,220.174
481.584,232.06
484.632,243.097
487.68,253.851
490.728,264.322
493.776,273.661
496.824,283
499.872,292.056
502.92,300.263
505.968,308.753
509.016,317.243
512.064,325.45
515.112,333.657
517.8552,341.015
