pool_elev_m,release_cap_cms
455.8284,0
456.2856,21.225
456.5904,46.695
456.8952,77.259
457.2,112.068
457.5048,151.971
457.8096,195.27
458.1144,241.965
458.4192,291.207
458.724,344.694
459.0288,400.728
459.3336,459.309
459.6384,520.437
459.9432,583.263
460.248,649.485
460.5528,718.254
460.8576,788.721
461.1624,861.735
461.4672,936.447
461.772,1012.857
462.0768,1091.814
462.3816,1173.318
462.6864,1255.671
462.9912,1340.571
463.296,1427.169
463.6008,1515.465
463.9056,1605.459
464.2104,1697.151
464.5152,1790.541
464.82,1885.629
465.1248,1982.415
465.4296,2080.05
465.7344,2180.232
466.0392,2281.263
466.344,2384.841
466.6488,2489.268
466.9536,2594.544
467.2584,2702.367
467.5632,2811.039
467.868,2921.409
468.1728,3032.628
468.4776,3145.545
468.7824,3260.16
469.0872,3375.624
469.392,3492.786
469.6968,3611.646
470.0016,3731.355
470.3064,3851.913
