pool_elev_m,release_cap_cms
504.9774,0
505.3584,10.188
505.6632,25.47
505.968,43.582
506.2728,65.656
506.5776,89.994
506.8824,116.596
507.1872,146.028
507.492,177.158
507.7968,209.986
508.1016,245.078
508.4064,281.868
508.7112,320.356
509.016,360.542
509.3208,401.86
509.6256,444.876
509.9304,489.59
510.2352,535.436
510.54,582.414
510.8448,631.09
511.1496,680.898
511.4544,731.838
511.7592,783.91
512.064,837.68
512.3688,892.016
512.6736,948.05
512.9784,1004.65
513.2832,1062.948
513.588,1121.812
513.8928,1181.808
514.1976,1242.936
514.5024,1305.196
514.8072,1368.588
515.112,1432.546
515.4168,1497.636
515.7216,1563.858
516.0264,1630.646
516.3312,1698.566
516.636,1767.618
516.9408,1837.236
517.2456,1907.986
517.5504,1979.302
517.8552,2051.75
