pool_elev_m,release_cap_cms
193.2432,118.86
201.168,118.86
201.7776,200.081
202.0824,267.435
202.3872,348.656
202.692,439.782
202.9968,540.813
203.3016,651.749
203.6064,770.609
203.9112,895.412
204.216,1028.139
204.5208,1168.79
204.8256,1315.384
205.1304,1467.921
205.4352,1626.401
205.74,1790.824
206.0448,1959.209
206.3496,2135.518
206.6544,2315.789
206.9592,2502.003
207.264,2692.179
207.5688,2886.317
207.8736,3086.398
208.1784,3292.422
208.4832,3500.427
208.788,3714.375
209.0928,3932.285
209.3976,4154.157
209.7024,4379.991
210.0072,4611.768
210.312,4845.526
210.6168,5083.246
210.9216,5324.928
211.2264,5572.553
211.5312,5822.159
211.836,6075.727
212.1408,6331.276
212.4456,6592.768
212.56752,6698.1572
212.7504,6856.241
213.0552,7123.676
213.36,7395.073
213.6648,7670.432
213.9696,7947.772
