pool_elev_m,release_cap_cms
241.27968,0
241.4016,2.264
241.7064,13.018
242.0112,28.3
242.316,47.544
242.6208,69.618
242.9256,94.522
243.2304,122.256
243.5352,151.688
243.84,183.384
244.1448,216.778
244.4496,251.87
244.7544,289.226
245.0592,327.714
245.364,367.9
245.6688,409.784
245.9736,453.366
246.2784,498.08
246.5832,543.926
246.888,591.47
247.1928,640.146
247.4976,690.52
247.8024,741.46
248.1072,794.098
248.412,847.868
248.7168,902.77
249.0216,958.804
249.3264,1015.97
249.6312,1073.702
249.936,1133.132
250.2408,1193.694
250.5456,1254.822
250.8504,1317.082
251.1552,1380.474
251.46,1444.998
251.7648,1510.088
252.0696,1576.31
252.3744,1643.664
252.6792,1711.584
252.984,1780.636
253.2888,1850.254
253.5936,1921.57
253.8984,1992.886
254.2032,2065.9
