pool_elev_m,release_cap_cms
227.08,125.09
246.89,239.34
274.62,399.28
277.37,415.10
280.42,424.05
283.46,433.27
286.51,441.31
289.56,449.57
292.61,457.61
295.26,464.41
295.66,477.87
295.96,495.62
296.27,517.32
296.57,542.43
296.88,570.92
297.18,602.25
297.48,635.84
297.79,671.70
298.09,709.82
298.40,750.20
298.70,792.29
299.01,836.63
299.31,882.10
299.62,929.84
299.92,979.27
300.23,1029.84
300.53,1082.67
300.84,1136.63
301.14,1191.72
301.45,1248.52
301.75,1307.01
302.06,1366.61
302.36,1427.34
302.67,1489.77
302.97,1553.33
303.28,1618.02
303.58,1683.85
303.89,1751.37
304.19,1819.46
304.50,1889.25
304.80,1959.61
305.10,2031.63
305.41,2104.80
305.71,2178.52
306.02,2253.95
306.32,2329.94
306.63,2407.06
306.93,2485.32
307.24,2564.70
307.54,2644.66
307.85,2725.74
308.15,2807.98
308.46,2891.35
308.76,2975.86
309.07,3060.93
309.37,3146.56
