pool_elev_m,release_cap_cms
225.2472,0
231.648,117.445
231.9528,121.69
232.2576,125.935
232.5624,129.7555
232.8672,133.4345
233.172,137.1135
233.4768,140.368
233.7816,143.6225
234.0864,146.7355
234.3912,149.5655
234.696,152.3955
235.0008,155.15475
235.3056,157.914
235.6104,160.6025
235.9152,163.07875
236.22,165.555
236.5248,167.9605
236.8296,170.2245
237.1344,172.4885
237.4392,174.894
237.744,176.875
238.0488,179.139
238.3536,181.12
238.6584,183.384
238.9632,185.365
239.268,187.346
239.5728,189.1855
239.8776,191.025
240.1824,192.8645
240.4872,194.8455
240.792,196.685
241.0968,198.5245
241.4016,200.364
241.7064,202.062
242.0112,203.76
242.316,205.458
242.6208,207.2975
242.9256,208.854
243.2304,210.4105
243.5352,212.1085
243.84,213.665
244.1448,215.363
244.4496,216.9195
244.7544,218.476
245.0592,220.0325
245.364,221.589
245.6688,223.1455
245.9736,224.5605
246.2784,226.117
246.5832,227.532
246.888,228.947
247.1928,230.362
247.4976,231.777
247.8024,233.192
248.1072,234.607
248.412,236.022
248.7168,237.437
249.0216,238.852
249.3264,240.267
249.6312,241.5405
249.936,242.814
250.2408,244.512
250.5456,245.644
250.8504,246.9175
251.1552,248.191
251.46,249.606
251.7648,250.8795
252.0696,252.22375
252.3744,253.568
252.6792,254.8415
252.984,256.115
253.2888,257.3885
253.5936,258.662
253.8984,259.9355
254.2032,261.209
254.508,262.4825
254.8128,286.396
255.1176,313.1395
255.4224,356.863
255.7272,409.784
256.032,470.4875
256.3368,547.4635
256.6416,615.242
256.9464,699.293
257.2512,790.419
257.556,888.62
257.8608,993.1885
258.1656,1106.9545
258.4704,1221.428
258.7752,1350.759
259.08,1475.1375
259.3848,1610.836
259.6896,1752.1945
259.9944,1898.5055
260.2992,2049.769
260.604,2205.985
260.9088,2367.1535
261.2136,2532.567
261.5184,2702.2255
261.8232,2876.129
262.128,3053.57
263.9568,3061.211
