pool_elev_m,release_cap_cms
344.424,90.56
354.0252,90.56
354.4824,114.332
354.7872,141.5
355.092,174.611
355.3968,213.665
355.7016,256.964
356.0064,304.508
356.3112,355.448
356.616,409.784
356.9208,467.516
357.2256,528.644
357.5304,593.168
357.8352,660.239
358.14,729.857
358.4448,802.022
358.7496,876.734
359.0544,953.993
359.3592,1033.799
359.664,1116.152
359.9688,1200.203
360.2736,1286.801
360.5784,1375.097
360.8832,1465.94
361.188,1558.481
361.4928,1653.569
361.7976,1750.355
362.1024,1848.839
362.4072,1949.021
362.712,2051.75
363.0168,2155.328
363.3216,2261.453
363.6264,2369.276
363.9312,2478.797
364.236,2589.167
364.5408,2702.084
364.8456,2816.699
365.1504,2932.163
365.4552,3050.174
365.76,3169.034
366.0648,3289.592
366.3696,3411.848
366.6744,3535.802
366.9792,3661.454
367.284,3787.955
367.5888,3916.154
367.8936,4046.051
368.1984,4176.797
368.5032,4309.241
368.808,4443.383
