pool_elev_m,release_cap_cms
219.1512,0
225.552,54.5058
225.8568,56.2038
226.1616,57.732
226.4664,59.1753
226.7712,60.6186
227.076,62.0619
227.3808,63.4203
227.6856,64.8636
227.9904,66.222
228.2952,67.4955
228.6,68.769
228.9048,70.0425
229.2096,71.316
229.5144,72.5895
229.8192,73.863
230.124,74.9667
230.4288,76.0704
230.7336,77.1741
231.0384,78.2778
231.3432,79.3815
231.648,80.4852
231.9528,81.5889
232.2576,82.6926
232.5624,83.7963
232.8672,84.8151
233.172,85.8339
233.4768,86.8527
233.7816,87.7866
234.0864,88.8054
234.3912,89.8242
234.696,90.843
235.0008,91.7769
235.3056,92.7108
235.6104,93.6447
235.9152,94.5786
236.22,95.5125
236.5248,96.4464
236.8296,97.2954
237.1344,98.1444
237.4392,99.0783
237.744,99.9273
238.0488,100.7763
238.3536,101.7102
238.6584,102.6441
238.9632,103.4931
239.268,104.3421
239.5728,105.1911
239.8776,105.9552
240.1824,106.8042
240.4872,107.5683
240.792,108.4173
241.0968,109.2663
241.4016,132.9534
241.7064,178.3183
242.0112,239.9274
242.316,316.2525
242.6208,407.62754
242.9256,510.32258
243.2304,624.33762
243.5352,752.50266
243.84,889.1577
244.1448,1034.30274
244.4496,1182.27778
244.63248,1273.32737
244.7544,1338.74282
245.0592,1495.20786
245.364,1657.3329
245.6688,1827.94794
245.9736,2001.39298
246.2784,2180.49802
