pool_elev_m,release_cap_cms
421.8432,101.88
427.6344,101.88
429.40224,101.88
429.768,103.861
432.816,133.01
435.864,189.61
438.912,236.588
439.8264,245.1629
441.96,265.171
445.008,285.547
448.056,303.376
451.104,321.205
454.152,336.487
455.8284,344.8921
456.2856,368.4094
456.5904,395.4076
456.8952,427.4998
457.2,463.837
457.5048,505.11538
457.8096,549.78976
458.1144,597.86014
458.4192,648.47752
458.724,703.3399
459.0288,760.74928
459.3336,820.70566
459.6384,883.20904
459.9432,947.41042
460.248,1015.0078
460.5528,1085.14652
460.8576,1156.98324
461.1624,1231.36696
461.4672,1307.44868
461.772,1385.2284
462.0768,1465.55512
462.3816,1548.42884
462.6864,1632.15156
462.9912,1718.42128
463.296,1806.389
463.6008,1895.9019
463.9056,1987.1128
464.2104,2080.0217
464.5152,2174.6286
464.82,2270.9335
465.1248,2368.9364
465.4296,2467.7883
465.7344,2569.1872
466.0392,2671.4351
466.344,2776.23
466.6488,2881.8739
466.9536,2988.3668
467.2584,3097.4067
467.5632,3207.2956
467.868,3318.8825
468.1728,3431.3184
468.4776,3545.4523
468.7824,3661.2842
469.0872,3777.9651
469.392,3896.344
469.6968,4016.14639
470.0016,4136.80061
470.3064,4258.301
471.8304,4262.9988
