pool_elev_m,release_cap_cms
160.02,96.786
181.90464,96.786
182.2704,119.426
182.5752,152.254
182.88,193.006
183.1848,241.682
183.4896,297.15
183.7944,357.146
184.0992,421.67
184.404,491.854
184.7088,566.566
185.0136,644.674
185.3184,727.31
185.6232,814.474
185.928,903.902
186.2328,996.726
186.5376,1094.078
186.8424,1193.694
187.1472,1296.706
187.452,1403.114
187.7568,1511.786
188.0616,1623.854
188.3664,1739.318
188.6712,1855.914
188.976,1977.038
189.2808,2099.294
189.5856,2224.946
189.8904,2352.862
190.1952,2483.042
190.5,2615.486
190.8048,2750.194
191.1096,2888.298
191.4144,3027.534
191.7192,3170.166
192.024,3313.93
192.3288,3459.958
192.6336,3609.382
192.9384,3759.938
193.2432,3912.758
193.548,4066.71
193.8528,4224.058
194.1576,4382.538
194.4624,4544.414
194.7672,4706.29
195.072,4871.562
195.3768,5037.966
,
