pool_elev_m,release_cap_cms
381.9144,36.507
450.73824,36.507
454.152,80.11164
460.248,157.631
463.296,182.252
466.344,200.647
469.392,216.212
472.44,230.928
475.488,244.512
478.536,256.681
481.584,268.567
484.632,279.604
487.68,290.358
490.728,300.829
493.776,310.168
496.824,319.507
499.872,328.563
502.92,336.77
504.99264,342.50075
505.3584,353.75
505.6632,369.881
505.968,388.842
506.2728,411.765
506.5776,436.952
506.8824,464.403
507.1872,494.684
507.492,526.663
507.7968,560.34
508.1016,596.281
508.4064,633.92
508.7112,673.257
509.016,714.292
509.3208,756.4307
509.6256,800.2674
509.9304,845.8021
510.2352,892.4688
510.54,940.2675
510.8448,989.7642
511.1496,1040.3929
511.4544,1092.1536
511.7592,1145.0463
512.064,1199.637
512.3688,1254.7937
512.6736,1311.6484
512.9784,1369.0691
513.2832,1428.1878
513.588,1487.8725
513.8928,1548.6892
514.1976,1610.6379
514.5024,1673.7186
514.8072,1737.9313
515.112,1802.71
515.4168,1868.61787
515.7216,1935.65774
516.0264,2003.26361
516.3312,2072.00148
516.636,2141.86852
516.9408,2212.30439
517.2456,2283.87226
517.5504,2356.00613
517.8552,2429.272
518.16,2429.272
