pool_elev_m,release_cap_cms
201.168,0
201.7776,81.221
202.0824,148.575
202.3872,229.796
202.692,320.922
202.9968,421.953
203.3016,532.889
203.6064,651.749
203.9112,776.552
204.216,909.279
204.5208,1049.93
204.8256,1196.524
205.1304,1349.061
205.4352,1507.541
205.74,1671.964
206.0448,1840.349
206.3496,2016.658
206.6544,2196.929
206.9592,2383.143
207.264,2573.319
207.5688,2767.457
207.8736,2967.538
208.1784,3173.562
208.4832,3381.567
208.788,3595.515
209.0928,3813.425
209.3976,4035.297
209.7024,4261.131
210.0072,4492.908
210.312,4726.666
210.6168,4964.386
210.9216,5206.068
211.2264,5453.693
211.5312,5703.299
211.836,5956.867
212.1408,6212.416
212.4456,6473.908
212.7504,6737.381
213.0552,7004.816
213.36,7276.213
213.6648,7551.572
213.9696,7828.912
