pool_elev_m,release_cap_cms
270.51,0
270.9672,36.79
271.272,77.825
271.5768,130.18
271.8816,189.61
272.1864,256.115
272.4912,328.28
272.796,407.52
273.1008,492.42
273.4056,581.565
273.7104,674.955
274.0152,774.005
274.32,877.3
274.6248,984.84
274.9296,1095.21
275.2344,1211.24
275.5392,1330.1
275.844,1453.205
276.1488,1579.14
276.4536,1709.32
276.7584,1842.33
277.0632,1978.17
277.368,2118.255
277.6728,2261.17
277.9776,2406.915
278.2824,2555.49
278.5872,2706.895
278.892,2862.545
279.1968,3019.61
279.5016,3179.505
279.8064,3342.23
280.1112,3509.2
280.416,3677.585
280.7208,3847.385
281.0256,4021.43
281.3304,4198.305
281.6352,4376.595
281.94,4557.715
282.2448,4740.25
282.5496,4927.03
282.8544,5115.225
283.1592,5306.25
283.464,5498.69
283.7688,5693.96
284.0736,5890.645
284.3784,6090.16
284.6832,6292.505
