,Zone,Time,Value
177,PGE_valley,34,509.4951410933838
178,PGE_valley,35,560.9538823295383
179,PGE_valley,36,784.2097752968126
180,PGE_valley,37,703.269463560778
181,PGE_valley,38,501.99074132977785
182,PGE_valley,39,345.47040340314123
183,PGE_valley,40,225.13199290817593
184,PGE_valley,41,6.164328377247673
185,PGE_valley,42,6.164328377247673
186,PGE_valley,43,6.700356931790948
187,PGE_valley,44,6.700356931790948
188,PGE_valley,45,6.700356931790948
189,PGE_valley,46,2.6801427727163794
190,PGE_valley,47,0.0
191,PGE_valley,48,0.0
192,PGE_bay,49,0.0
193,PGE_bay,50,0.0
194,PGE_bay,51,0.0
195,PGE_bay,52,0.0
196,PGE_bay,53,0.0
197,PGE_bay,54,0.0
198,PGE_bay,55,0.0
199,PGE_bay,56,0.757153707319267
200,PGE_bay,57,4.274763639240028
201,PGE_bay,58,8.182780951497287
202,PGE_bay,59,10.205801013240954
203,PGE_bay,60,11.526876492157383
204,PGE_bay,61,11.298152976404687
205,PGE_bay,62,8.202498495958727
206,PGE_bay,63,6.380597387721741
207,PGE_bay,64,4.128853810225379
208,PGE_bay,65,0.4416729959362392
209,PGE_bay,66,0.0
210,PGE_bay,67,0.0
211,PGE_bay,68,0.0
212,PGE_bay,69,0.0
213,PGE_bay,70,0.0
214,PGE_bay,71,0.0
215,PGE_bay,72,0.0
216,SCE,49,0.0
217,SCE,50,0.0
218,SCE,51,0.0
219,SCE,52,0.0
220,SCE,53,0.0
221,SCE,54,0.0
222,SCE,55,0.0
223,SCE,56,154.23501445392478
224,SCE,57,870.7851857711169
225,SCE,58,1666.8627864161142
226,SCE,59,2078.9594656601944
227,SCE,60,2348.0674335876147
228,SCE,61,2301.4756063046584
229,SCE,62,1670.8793232508517
230,SCE,63,1299.7513197210953
231,SCE,64,841.0628131940585
232,SCE,65,89.97042509812279
233,SCE,66,0.0
234,SCE,67,0.0
235,SCE,68,0.0
236,SCE,69,0.0
237,SCE,70,0.0
238,SCE,71,0.0
239,SCE,72,0.0
240,SDGE,49,0.0
241,SDGE,50,0.0
242,SDGE,51,0.0
243,SDGE,52,0.0
244,SDGE,53,0.0
245,SDGE,54,0.0
246,SDGE,55,0.0
247,SDGE,56,35.97882246261555
248,SDGE,57,203.1304351535169
249,SDGE,58,388.83362817670445
250,SDGE,59,484.96454444400536
251,SDGE,60,547.7400940532564
252,SDGE,61,536.8714914343412
253,SDGE,62,389.7705766783351
254,SDGE,63,303.19653512766644
255,SDGE,64,196.19701624145037
256,SDGE,65,20.987646436525733
257,SDGE,66,0.0
258,SDGE,67,0.0
259,SDGE,68,0.0
260,SDGE,69,0.0
261,SDGE,70,0.0
262,SDGE,71,0.0
263,SDGE,72,0.0
264,PGE_valley,49,0.0
265,PGE_valley,50,0.0
266,PGE_valley,51,0.0
267,PGE_valley,52,0.0
268,PGE_valley,53,0.0
269,PGE_valley,54,0.0
270,PGE_valley,55,0.0
271,PGE_valley,56,73.49999506977034
272,PGE_valley,57,414.9687221647449
273,PGE_valley,58,794.33588421757
274,PGE_valley,59,990.7186835446125
275,PGE_valley,60,1118.9608624423888
276,PGE_valley,61,1096.757738931729
277,PGE_valley,62,796.2499465891786
278,PGE_valley,63,619.3905834525438
279,PGE_valley,64,400.8046606148413
280,PGE_valley,65,42.87499712403269
281,PGE_valley,66,0.0
282,PGE_valley,67,0.0
283,PGE_valley,68,0.0
284,PGE_valley,69,0.0
285,PGE_valley,70,0.0
286,PGE_valley,71,0.0
287,PGE_valley,72,0.0
