,PNW
0,39.850086493080006
1,39.84426982641333
2,39.937336493080004
3,25.46623415625
4,15.318732071416667
5,16.718398406
6,39.928611493080005
7,38.45117815974667
8,38.21120022751501
9,41.33333649308
10,53.04180130630001
11,14.198999003749998
12,16.718398406
13,16.718398406
14,16.718398406
