Water_year_type,Min_Albany_Jan1,Min_Albany_April1,Min_Albany_Apr16,Min_Albany_May1,Min_Albany_June1,Min_Albany_June16,Min_Albany_Jul1,Min_Albany_Aug1,Min_Albany_Aug16,Min_Albany_Sept1,Min_Albany_Oct1,Min_Albany_Nov1
0,0,0,0,0,113,113,113,113,113,113,113,0
0.9,0,0,0,0,113,113,113,113,113,113,113,0
1.2,0,0,0,0,127,127,127,127,127,127,127,0
1.48,0,0,0,0,127,127,127,142,142,142,142,0
2,0,0,0,0,127,127,127,142,142,142,142,0
