Date_Water_year_type,Water_year_type,Water_year_type,Water_year_type,Water_year_type,Water_year_type,Water_year_type
-10,0,0.9,1.2,1.48,2,10
0,0,0,0,0,0,0
91,0,0,0,0,0,0
106,0,0,0,0,0,0
121,0,0,0,0,0,0
152,113,113,127,127,127,127
167,113,113,127,127,127,127
182,113,113,127,127,127,127
213,113,113,127,142,142,142
228,113,113,127,142,142,142
244,113,113,127,142,142,142
274,113,113,127,142,142,142
305,0,0,0,0,0,0
365,0,0,0,0,0,0
