datetime,realization,ORO_snow,SHA_snow,FOL_snow,YRS_snow,MHB_snow,PAR_snow,NHG_snow,NML_snow,DNP_snow,EXC_snow,MIL_snow,PFT_snow,KWH_snow,SUC_snow,ISB_snow,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_storage,SHA_storage,FOL_storage,YRS_storage,MHB_storage,PAR_storage,NHG_storage,NML_storage,DNP_storage,EXC_storage,MIL_storage,PFT_storage,KWH_storage,SUC_storage,ISB_storage,ORO_inf,SHA_inf,FOL_inf,YRS_inf,MHB_inf,PAR_inf,NHG_inf,NML_inf,DNP_inf,EXC_inf,MIL_inf,PFT_inf,KWH_inf,SUC_inf,ISB_inf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf,ORO_evap,SHA_evap,FOL_evap,YRS_evap,MHB_evap,PAR_evap,NHG_evap,NML_evap,DNP_evap,EXC_evap,MIL_evap,PFT_evap,KWH_evap,SUC_evap,ISB_evap,ORO_precip,SHA_precip,FOL_precip,YRS_precip,MHB_precip,PAR_precip,NHG_precip,NML_precip,DNP_precip,EXC_precip,MIL_precip,PFT_precip,KWH_precip,SUC_precip,ISB_precip,ORO_fci,SHA_fci,FOL_fci,YRS_fci,MHB_fci,PAR_fci,NHG_fci,NML_fci,DNP_fci,EXC_fci,MIL_fci,PFT_fci,KWH_fci,SUC_fci,ISB_fci,ORO_gains,SHA_gains,FOL_gains,YRS_gains,MHB_gains,PAR_gains,NHG_gains,NML_gains,DNP_gains,EXC_gains,MIL_gains,PFT_gains,KWH_gains,SUC_gains,ISB_gains,SAC_gains,SJ_gains,delta_depletion,OMR,SL_storage,SLS_storage,SLF_storage,SLS_out,SLF_out,HRO_pump,TRP_pump,delta_inflow,vernalis_inflow
10/1/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150.2,16008,625.69,434.81,0,318.86,66.82,486.59,230.7,67.36,2817.6,602.57,150.57,26.015,555.94,2.74E+06,3.09E+06,7.24E+05,6.94E+05,0,1.88E+05,1.48E+05,1.99E+06,1.69E+06,6.99E+05,2.36E+05,3.34E+05,10684,11079,2.87E+05,1768,4957,1521,0,13,342,19,1134,0,0,1100,626,59,22,225,1678,4739,2648,0,13,328,134,1062,1272,1504,1857,1620,40,71,791,102,89,48,0,0,11.801,5.292,15,15.6,8.5764,26.248,31.98,17.161,21.616,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.00E+05,187.4,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-132,14,-203,0,-718,-840,-953,-59.917,0,0,0,0,6745,2055,-2363,0,9.20E+05,8.43E+05,3.32E+05,2303.7,605.24,6524,4122,17788,2110
10/2/1996,1,0,0,0,0,0.12,0.12,0.12,0.36,1.78,3.92,0,0,0,0,0.06,2917.8,11496,560.76,434.81,0,99.743,66.82,432.46,119.1,47.427,1607.3,715.19,141.03,24.112,562.73,2.73E+06,3.09E+06,7.22E+05,6.94E+05,0,1.88E+05,1.48E+05,1.99E+06,1.69E+06,6.97E+05,2.34E+05,3.32E+05,10719,10969,2.86E+05,2213,4683,1488,0,13,282,19,1282,0,5,1093,743,61,17,240,2655,5013,2613,0,13,327,114,950,1503,565,1715,1513,40,69,775,136,85,48,0,0,11.801,5.292,15,15.6,8.5764,32.424,39.505,9.8061,12.352,86.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.04E+05,188.73,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-298,14,-213,0,-574,-852,-703,63.29,0,0,0,0,5435,2734,-2327,0,9.27E+05,8.43E+05,3.32E+05,2303.7,605.24,6524,4374,17538,2120
10/3/1996,1,0,0,0,0,0.24,0.24,0.24,0.36,1.78,3.92,0,0,0,0,0.18,3768.9,3981.2,495.83,200.03,0,85.606,66.82,462.34,181.93,37.117,973.31,699.79,127.41,23.477,342.9,2.73E+06,3.09E+06,7.18E+05,6.94E+05,0,1.88E+05,1.48E+05,1.99E+06,1.69E+06,6.95E+05,2.33E+05,3.31E+05,10758,10861,2.84E+05,2904,4522,820,10.083,13,343,18,1092,1051,0,1204,727,63,19,234,1178,4826,2632,2718.7,13,326,93,962,1618,1400,1807,1431,40,69,762,163,66,45,0,0,11.801,5.292,15,15.6,8.5764,29.336,35.742,11.645,14.668,93.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.08E+05,189.79,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-296,15,-216,0,-583,-664,-647,18.42,0,0,0,0,4448.3,-1026.7,-2278,0,9.35E+05,8.43E+05,3.32E+05,2303.7,605.24,6518,4374,17667,2160
10/4/1996,1,0,0,0,0,0.24,0.24,0.24,0.75,1.78,3.92,0,0,0,0,0.18,2833.1,3512.8,553.87,200.03,0,176.71,0,393.55,25.321,54.988,720.04,619.9,122.64,165.61,689.19,2.73E+06,3.09E+06,7.15E+05,6.94E+05,0,1.88E+05,1.48E+05,1.99E+06,1.69E+06,6.93E+05,2.32E+05,3.30E+05,10793,10753,2.83E+05,2904,5373,1110,10.083,13,299,16,1296,0,0,921,644,62,17,265,2910,4106,2677,2661.7,13,327,77,950,1665,558,1722,1018,41,67,732,102,98,42,0,0,11.801,5.292,15,15.6,8.5764,27.792,33.861,12.871,16.212,69.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.13E+05,191,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-297,16,-229,0,-572,-1560,-573,-122.04,0,0,0,0,3109.3,675.3,-2236,0,9.43E+05,8.43E+05,3.32E+05,2303.7,605.24,5885,4259,17307,2140
10/5/1996,1,0,0,0,0,0.44,0.44,0.44,1.42,1.78,3.92,0,0,0,0,0.18,2852.4,10363,699.47,200.03,0,164.93,27.842,393.55,138.79,68.735,1059.4,498.61,119.91,153.55,520.29,2.73E+06,3.09E+06,7.12E+05,6.94E+05,0,1.88E+05,1.47E+05,1.99E+06,1.69E+06,6.91E+05,2.30E+05,3.31E+05,10824,10651,2.82E+05,2904,3464,1240,10.083,14,220,27,1006,870,0,960,518,60,12,265,0,4869,2788,2346.9,14,327,70,976,1436,1121,1493,158,40,63,663,109,144,54,0,0,11.801,5.292,15,15.6,8.5764,15.44,18.812,1.2258,1.544,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.15E+05,192.23,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-293,15,-219,0,-598,-1588,-682,-316.67,0,0,0,0,5689.1,564.1,-2186,0,9.52E+05,8.43E+05,3.32E+05,2303.7,605.24,6538,4252,17540,2140
10/6/1996,1,0,0,0,0,0.44,0.44,0.44,1.54,1.78,3.92,0,0,0,0,0.84,3229,11156,881.47,200.03,0,168.86,30.626,348.45,330.11,54.3,422.93,455.3,124,89.467,520.29,2.73E+06,3.09E+06,7.08E+05,6.94E+05,0,1.88E+05,1.47E+05,1.99E+06,1.69E+06,6.90E+05,2.29E+05,3.31E+05,10867,10555,2.81E+05,2904,4489,986,10.083,13,316,30,794,457,19,813,473,66,17,242,2927,4237,2668,2080.3,13,325,71,635,1587,707,1529,159,40,61,685,136,145,67,0,0,11.801,5.292,15,15.6,8.5764,18.528,22.574,13.483,16.984,93.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.18E+05,192.56,0,0,0,0,0,0,0,85,83560,0,0,0,0,0,0,-294,14,-216,0,-252,-1313,-923,-372.5,0,0,0,0,3562.7,1195.7,-2186,0,9.59E+05,8.43E+05,3.32E+05,2303.7,605.24,6493,4247,17311,2130
10/7/1996,1,0,0,0,0,0.56,0.56,0.56,1.54,1.78,3.92,0,0,0,0,0.84,3411.8,13449,493.86,200.03,0,146.87,25.058,305.03,0,49.489,340.94,609.31,118.55,72.97,487.19,2.73E+06,3.09E+06,7.06E+05,6.65E+05,0,1.79E+05,1.47E+05,1.99E+06,1.67E+06,6.88E+05,2.28E+05,3.32E+05,10895,10444,2.80E+05,2904,4326,1303,10.083,13,271,2,1214,115,0,1348,633,59,20,249,3110,4588,2547,2079.9,13,324,74,1004,2372,996,1679,160,40,71,763,204,141,64,0,0,11.801,5.292,15,15.6,8.5764,30.88,37.624,13.483,16.984,103.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.20E+05,192.56,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-301,14,-218,0,-622,-835,-529,-49.167,0,0,0,0,2454.1,46.1,-2140,0,9.67E+05,8.43E+05,3.32E+05,2303.7,605.24,6126,4154,16618,2140
10/8/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,0.84,3051,14736,465.33,200.03,0,173.57,30.626,178.73,3.7512,38.491,280.06,540.97,109.01,65.355,494.83,2.73E+06,3.08E+06,7.02E+05,6.65E+05,0,1.79E+05,1.47E+05,1.99E+06,1.67E+06,6.88E+05,2.27E+05,3.33E+05,10914,10324,2.79E+05,3061,4134,1006,10.083,12,238,31,1310,753,76,1159,562,55,14,261,3385,4629,2480,2081.1,12,327,72,1280,1880,1209,1729,236,40,70,865,204,136,70,0,0,11.801,5.292,15,15.6,8.5764,32.424,39.505,14.096,17.756,93.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.23E+05,193.68,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-294,15,-223,0,-900,-831,-518,1.21,0,0,0,0,1897.9,-241.1,-2137,0,9.70E+05,8.43E+05,3.32E+05,2303.7,605.24,6583,3426,16259,2080
10/9/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,2162.3,15051,439.75,200.03,0,138.23,167.05,180.43,653.65,0,557.68,620.86,110.37,57.741,501.62,2.73E+06,3.08E+06,7.01E+05,6.65E+05,0,1.79E+05,1.47E+05,1.99E+06,1.67E+06,6.88E+05,2.25E+05,3.33E+05,10930,10209,2.77E+05,1922,3685,1823,10.083,12,259,2,1251,647,0,851,645,53,16,286,2701,3947,2413,2082.7,12,326,71,1233,1773,1419,1879,305,40,69,940,204,141,86,0,0,11.801,5.292,15,15.6,8.5764,29.336,35.742,13.483,16.984,124.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.24E+05,194.13,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-300,13,-221,0,-853,-806,-625,-144.96,0,0,0,0,2913.3,-450.7,-2146,0,9.81E+05,8.43E+05,3.32E+05,2303.7,605.24,6533,4366,15757,2000
10/10/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,3322.2,1667.8,430.9,205.95,0,173.57,334.1,164.07,270.09,31.618,377.47,620.86,108.33,51.396,465.12,2.73E+06,3.09E+06,6.98E+05,6.65E+05,0,1.79E+05,1.47E+05,1.99E+06,1.67E+06,6.88E+05,2.25E+05,3.34E+05,10946,10080,2.76E+05,1692,4770,1163,10.083,11,259,2,962,647,0,851,645,53,16,286,2847,3751,2715,2085.7,11,326,71,543,1773,1419,1879,305,40,69,940,204,108,89,0,0,11.801,5.292,15,15.6,8.5764,29.336,35.742,13.483,16.984,124.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.27E+05,194.46,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-1563,13,-223,0,-158,-1635,-520,-244.33,0,0,0,0,4240.3,195.3,-2078,0,9.91E+05,8.43E+05,3.32E+05,2303.7,605.24,5899,4319,16006,1930
