,HCR,LOP,DEX,FAL,DOR,COT,FRN,CGR,BLU,GPR,FOS,DET,BCL
141,28.20950296566028,73.54869474900404,73.54869474900404,8.465869972563729,2.8,1.4,1.0,18.022195183942785,8.286878986028196,47.46891553470099,45.055996320321206,63.51821347222698,63.51821347222698
142,32.13430337827584,83.41410619874864,83.41410619874864,14.007166681876406,2.8,1.4,1.0,20.413766108824422,9.804194856710662,56.43559978704338,52.15540768221624,117.08989351612826,117.08989351612826
143,31.12244077189101,81.56159108713062,81.56159108713062,13.288850441780632,2.8,1.4,1.0,21.694964818584697,10.621211094767268,22.6,58.50868431041802,55.1712687531224,55.1712687531224
144,29.190703068812276,76.57548261493307,76.57548261493307,11.390443235812365,2.8,1.4,1.0,19.986699872239733,9.62911994855506,22.6,29.00453094456592,51.21592212664722,51.21592212664722
145,27.626915404410965,72.46171568461246,72.46171568461246,9.799885847028344,2.8,1.4,1.0,18.27843492589477,8.31605813738821,40.44888043738237,22.6,54.15334866543059,54.15334866543059
146,29.190703068812276,76.04306936162766,76.04306936162766,10.0051190584829,2.8,1.4,1.0,18.050666266382777,8.111804077872765,33.6856497507992,54.439216901497154,55.49118649497076,55.49118649497076
147,28.209502965652693,73.99704275181863,73.99704275181863,9.697269241301067,2.8,1.4,1.0,17.765955441990798,8.6662079536989,22.6,54.40896369619968,58.39952960267111,58.39952960267111
148,29.12937806236868,76.20591835656514,76.20591835656514,11.262172478652662,6.284281261948593,1.4,1.0,17.3388892053999,8.432774742823439,22.6,52.836497766487646,68.7532310661039,68.7532310661039
149,38.08282900363276,99.17024438541382,99.17024438541382,14.622866316244902,14.802154138371417,1.4,1.0,23.203932187855244,14.82300889050312,22.6,67.02913957524734,82.36427681015046,82.36427681015046
150,45.472492280505186,118.35706448600524,118.35706448600524,22.370420048712855,26.613974107375746,1.4,1.0,27.588478883475894,18.499581961767163,22.6,60.112797824239045,77.74001126889553,77.74001126889553
151,41.42504185500244,103.63332724378134,103.63332724378134,16.700852582238063,20.633305768641403,1.4,1.0,25.225379041031484,15.173158706812085,22.6,53.58212568760091,65.84488795839526,65.84488795839526
152,35.96711628121565,90.32931162094904,90.32931162094904,13.801933470419435,15.923529451884571,2.9925976440556243,1.0,22.77686595126607,12.926364052151674,22.6,53.8135274562219,71.42890672518699,71.42890672518699
