,HCR,LOP,DEX,FAL,DOR,COT,FRN,CGR,BLU,GPR,FOS,DET,BCL
0,212289651.77517378,191305906.24274397,30625896.49769143,17431683.77991551,22828036.80855517,7240864.738165233,20955855.84452097,71712012.57042074,13440376.120911386,236109274.81814042,41845023.65962249,216759222.6799402,5827489.6647143485
1,202343778.31693664,172957495.79003188,30625896.49769143,11486020.422777064,12337149.197677385,4721785.922920143,9771427.873853408,66883704.677219026,5791686.146749555,236809186.80530167,41118196.00765711,218318832.44660214,5783385.585287637
2,198527450.76437736,157589947.75414714,30625896.49769143,9450278.155061595,9597654.906874584,4647778.910691143,5964090.442115271,65209359.10859416,5461773.431035466,199711232.3622746,76239097.79137947,209763246.33698088,5843001.512255447
3,195636020.73632488,145142419.27742305,30625896.49769143,8004129.857217142,9604114.028680459,4642845.109875872,3376194.159178587,65326556.36946205,5575221.971520225,204035792.56910843,43244668.159083635,201773759.11891016,5843001.512255447
4,193692307.8048565,142087254.00217465,30625896.49769143,7833154.8380477065,10122996.813749213,4699583.819251443,2377480.4817537977,65657061.18573228,6578611.285141189,213404630.6263521,38102697.52524013,205141986.97823852,5843001.512255447
5,194714438.85779732,147385860.7005312,30625896.49769143,9392605.875335196,11470800.230566848,4924071.756346126,5053325.863047934,66887011.94710082,8822419.952509632,228178551.4047691,59238325.485052764,226595076.3108814,5843001.512255447
6,218235003.75270686,188747513.06580332,30625896.49769143,16082705.35952379,22581694.390691396,7534052.387622813,11961146.466900442,79425929.0181025,24073282.801895812,237145315.58923224,85584292.30605774,256021306.83968493,5843001.512255447
7,241472999.49003756,236693007.548504,30625896.49769143,25383427.07550388,32213022.64130521,9093133.445247456,17780305.03712175,95661474.28884086,32458568.38029609,240954191.94729015,68094586.70397052,272222626.52216214,5843001.512255447
8,231634914.90855968,235890354.64566243,30625896.49769143,20313156.162782174,24341791.498223007,6081048.0475264285,18633822.16814341,89945387.88667603,25991756.02086688,224181281.9875871,85536162.71343334,291208267.4794873,5843001.512255447
9,225749072.81743795,237418777.82438624,30625896.49769143,18296175.033973765,20127475.515908226,5634539.073744704,19780573.890208762,86269418.84901738,22012340.48223845,234463605.76328605,51515500.13697035,294691713.9553667,5843001.512255447
10,220907866.93400806,235816430.73117572,30625896.49769143,15957704.630835418,16209158.235118462,5343444.825643891,17402853.884040702,82503257.21571574,18427254.879588712,211665508.07145178,67939187.40662155,293290942.0817003,5843001.512255447
