Date_release_cms,release_cms,release_cms,release_cms,release_cms
-10,0,28,283,2832
1.0,0,0,0,0
152.0,0,20,198,1982
172.0,0,17,170,1699
221.0,0,13,127,1274.2
244.0,0,11,113,1133
274.0,0,0,0,0
318.0,0,0,0,0
365.0,0,0,0,0
