,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
0,79054.10846852577,113372.81361694649,11396.604411929788,56281.50089571082,8005.479338584888,2720.5988387903885,10656.315484541685,4222.771916851513,1547.8860267300672,559.9671985330278,2264.5970876985116,4753.253357284777
1,79054.10846852577,82810.06672689266,14266.817065863655,56217.780743482734,8005.479338584888,3175.3342192601176,10760.32246553968,6156.236119490588,1280.9632998320344,760.7164075050715,2916.673247268182,4753.253357284777
2,79054.10846852577,76071.12553444787,16562.987189010742,50853.7549124091,8005.479338584888,3167.2929413822267,9636.913276175675,5133.168821514661,1070.465363586286,699.766589688566,2709.926603225798,4753.253357284777
3,79054.10846852577,66081.10030993963,13253.670394833198,44564.261938580035,8005.479338584888,3072.961429397507,8392.800880840714,4640.829557389722,861.1423556743431,630.7001070593096,2433.3944146998147,4753.253357284777
4,79054.10846852577,56368.638572115946,10606.216959491165,38259.883091562086,8005.479338584888,2998.625306479614,7227.744075416654,4043.6859492385393,643.5582742731809,567.1643926072823,2144.637229400484,4753.253357284777
5,79054.10846852577,47892.98321285602,8488.25421121754,32587.694053284795,8005.479338584888,2839.4759444990887,6226.187929034505,3597.7796873157336,455.4979131789634,507.57704969023166,1880.7911997171966,4753.253357284777
6,79054.10846852577,40773.54115088579,6793.884012598639,27745.048444527172,8005.479338584888,2700.029298405105,5369.414157804745,3177.8484736985893,296.49410620747034,450.8810475436692,1648.398227416834,4753.253357284777
7,79054.10846852577,34738.61598957008,5438.387853703513,22972.272801227722,7386.560280202729,2573.9425944609784,4644.109152082094,2843.3553825611157,578.9666910852735,398.49407935438666,1447.4549880647971,4753.253357284777
8,79054.10846852577,29689.234776805726,4353.9909265874185,19635.698685304884,6256.197861750124,2468.526016198408,4021.01155171771,2589.42442151741,1141.8942268249525,350.9646125389312,1276.8168391867744,4753.253357284777
9,79054.10846852577,25224.930103861352,3486.473384894542,16876.39009030277,5322.699568301516,2318.547649596717,3508.3566665378053,2372.1752752271855,1654.5618421953475,306.99720446825694,1131.3284060893368,4753.253357284777
10,73191.94209282367,21711.581068622658,3125.084338982585,14602.892094286364,4527.008680958676,2210.2636761651784,3092.7148210354094,2181.185503154046,1729.3439410739863,270.42846960917217,1014.0843474732968,4753.253357284777
11,62498.55049871089,18469.664325381957,2835.9731022530195,12791.67408842316,3991.0524610948323,2162.0899823012337,2733.964449254148,2011.5711879934092,1616.7827750606823,237.29221759605485,928.4496154210309,4753.253357284777
12,53607.19762961014,15839.575196362772,2604.6841128693695,11205.752863826248,3554.758622560943,2061.7599719849845,2431.4783968324136,1890.2426792987085,1479.859814872487,215.94948658221708,813.1766857422834,4753.253357284777
13,45657.65093423959,14379.089758929458,2419.652921362449,9832.630929339448,3148.3953446224073,1988.610050127149,2226.077542554311,1824.5741304312985,1330.7798913529068,208.96852601273864,730.5860606900491,4753.253357284777
14,39648.96268017533,12456.54681384471,2271.6279681569154,8793.579780140877,2784.7533171728714,1985.5799865231163,1997.3719384221683,1714.1632589752305,1191.2619520603057,192.5603071873026,627.2695240021383,4753.253357284777
15,34537.6380193913,9003.829069814668,2153.2080055924835,7914.820648875506,2563.504351956277,2113.069162110768,1865.6739281364503,1640.0052414564932,1072.492697955147,175.13253266395756,513.5831823199001,4753.253357284777
16,30949.183538985213,6267.239385596521,2058.472035540943,7076.439113990128,2274.5700412141273,2132.710158544764,1728.3213756515383,1666.4984350318982,951.5761303739773,165.58169950358658,396.6410564393411,4753.253357284777
17,27832.27445054966,4104.579608904375,6514.871440931475,6468.893371803802,2063.0157773293836,2060.050193583205,1611.3205384317512,1656.7186787947355,824.1176689896134,163.72413371656558,275.7999966599793,4753.253357284777
18,25427.764941277543,4304.67075420614,10079.990965243906,6078.334742744208,2020.6745208876162,2070.774977547819,1801.1072644700284,1737.2524431402042,705.4243408705912,153.54896074327044,176.3138831535749,4753.253357284777
19,25046.801107584433,5783.256794938708,12932.086584693845,5938.970585969847,1997.233072407955,2128.046773824173,1913.2285033386152,1854.1557740423614,608.4425285518078,141.05543631539325,63.75737924892126,4753.253357284777
20,25200.995911577607,19406.415626312602,15213.763080253802,8598.576460969856,2299.227604045258,2080.0162722855393,2961.8614843582895,1948.0083808941406,525.8273512428649,129.69519270270442,0.0,4753.253357284777
21,24455.268060779268,17782.785434536116,17039.104276701764,11966.920118871918,2457.461485153475,2080.935898932184,3405.9835420648683,2322.607975653641,411.53764261211126,112.86415850810837,26.631064640175257,4753.253357284777
22,23950.643767928665,17866.89303908172,18499.37723386014,11982.839582135879,2481.0029519409823,2002.588777511445,3301.171296988482,2241.5210124501345,479.2204916332116,93.86588424208855,0.0,4753.253357284777
23,24643.697426434504,26675.581388133753,19667.59559958684,13374.81859062751,2978.508512913921,1956.9848877232396,4032.5189110759516,2388.4043821169807,566.2713862102465,73.30354989960139,385.51792973610503,4753.253357284777
24,35579.0124162491,32182.293436492946,20913.868853348096,18383.981931430968,3819.7180565444105,1945.7963052976727,4825.935101330954,2870.6256687033956,634.7672552516686,57.72499754825905,721.9952502130759,4753.253357284777
25,39826.066626586646,31076.110018896838,23484.69349378549,19327.30564806008,3858.809882438014,1899.5958778406657,4585.921693298122,3376.7280245033057,705.5955313839863,46.03573383522985,765.4220371096126,4753.253357284777
26,42920.85066541341,30198.119141761672,25898.961868393115,18427.435282805363,3719.64077802249,1889.533424376317,4198.544774784268,3231.2351035639326,734.883069370638,35.66351173579964,724.0295921140489,4753.253357284777
27,43319.36826136538,27704.020393923525,25898.961868393115,17095.571810590343,3537.824455050838,1835.261076084868,3798.1117551225584,3078.0268386669322,738.1847249798088,25.87241406706628,643.4072725777282,4753.253357284777
