datetime,SRI,SJI
1901-10-01,10.26,4.12
1901-10-02,10.26,4.12
1901-10-03,10.26,4.12
1901-10-04,10.26,4.12
1901-10-05,10.26,4.12
1901-10-06,10.26,4.12
1901-10-07,10.26,4.12
1901-10-08,10.26,4.12
1901-10-09,10.26,4.12
1901-10-10,10.26,4.12
1901-10-11,10.26,4.12
1901-10-12,10.26,4.12
1901-10-13,10.26,4.12
1901-10-14,10.26,4.12
1901-10-15,10.26,4.12
1901-10-16,10.26,4.12
1901-10-17,10.26,4.12
1901-10-18,10.26,4.12
1901-10-19,10.26,4.12
1901-10-20,10.26,4.12
1901-10-21,10.26,4.12
1901-10-22,10.26,4.12
1901-10-23,10.26,4.12
1901-10-24,10.26,4.12
1901-10-25,10.26,4.12
1901-10-26,10.26,4.12
1901-10-27,10.26,4.12
1901-10-28,10.26,4.12
1901-10-29,10.26,4.12
1901-10-30,10.26,4.12
1901-10-31,10.26,4.12
1901-11-01,10.26,4.12
1901-11-02,10.26,4.12
1901-11-03,10.26,4.12
1901-11-04,10.26,4.12
1901-11-05,10.26,4.12
1901-11-06,10.26,4.12
1901-11-07,10.26,4.12
1901-11-08,10.26,4.12
1901-11-09,10.26,4.12
1901-11-10,10.26,4.12
1901-11-11,10.26,4.12
1901-11-12,10.26,4.12
1901-11-13,10.26,4.12
1901-11-14,10.26,4.12
1901-11-15,10.26,4.12
1901-11-16,10.26,4.12
1901-11-17,10.26,4.12
1901-11-18,10.26,4.12
1901-11-19,10.26,4.12
1901-11-20,10.26,4.12
1901-11-21,10.26,4.12
1901-11-22,10.26,4.12
1901-11-23,10.26,4.12
1901-11-24,10.26,4.12
1901-11-25,10.26,4.12
1901-11-26,10.26,4.12
1901-11-27,10.26,4.12
1901-11-28,10.26,4.12
1901-11-29,10.26,4.12
1901-11-30,10.26,4.12
1901-12-01,10.26,4.12
1901-12-02,10.26,4.12
1901-12-03,10.26,4.12
1901-12-04,10.26,4.12
1901-12-05,10.26,4.12
1901-12-06,10.26,4.12
1901-12-07,10.26,4.12
1901-12-08,10.26,4.12
1901-12-09,10.26,4.12
1901-12-10,10.26,4.12
1901-12-11,10.26,4.12
1901-12-12,10.26,4.12
1901-12-13,10.26,4.12
1901-12-14,10.26,4.12
1901-12-15,10.26,4.12
1901-12-16,10.26,4.12
1901-12-17,10.26,4.12
1901-12-18,10.26,4.12
1901-12-19,10.26,4.12
1901-12-20,10.26,4.12
1901-12-21,10.26,4.12
1901-12-22,10.26,4.12
1901-12-23,10.26,4.12
1901-12-24,10.26,4.12
1901-12-25,10.26,4.12
1901-12-26,10.26,4.12
1901-12-27,10.26,4.12
1901-12-28,10.26,4.12
1901-12-29,10.26,4.12
1901-12-30,10.26,4.12
1901-12-31,10.26,4.12
1902-01-01,13.516747556096108,4.314713492203273
1902-01-02,16.385726593507506,5.36779419306795
1902-01-03,17.202007588189932,5.499890277922492
1902-01-04,17.850354457898245,5.4904860592699265
1902-01-05,18.24797854819664,5.556739172989808
1902-01-06,18.598772293330917,5.575651279432213
1902-01-07,18.911727244189922,5.606829056850261
1902-01-08,19.28899243071144,5.62446686951413
1902-01-09,19.614345026193376,5.661889449663375
1902-01-10,19.921989316091945,5.684778685364574
1902-01-11,20.187090001428636,5.7029980088334415
1902-01-12,20.405867091216503,5.717370386176198
1902-01-13,20.582331632787376,5.7249965108117635
1902-01-14,20.763229417807636,5.772965754702938
1902-01-15,20.833505635045295,5.838697795299018
1902-01-16,20.903699803962166,5.84857100725708
1902-01-17,20.946118790314493,5.862239974350231
1902-01-18,21.074485873011394,5.910561313194356
1902-01-19,21.17902724933248,5.95189841570863
1902-01-20,21.24047873629096,5.96781594189034
1902-01-21,21.420200181147983,5.986829888182259
1902-01-22,21.671738670417277,6.03484612450125
1902-01-23,21.85867498602837,6.090737795344388
1902-01-24,21.965353769180652,6.0611557574755235
1902-01-25,22.23653302167098,6.144643554858449
1902-01-26,22.860343770250964,6.21077263627954
1902-01-27,23.02888107369428,6.185736985556305
1902-01-28,23.24055582732732,6.161108135222866
1902-01-29,23.423290881825793,6.168811182118517
1902-01-30,23.555709923361892,6.17457618120667
1902-01-31,23.719201373393208,6.19346872354772
1902-02-01,23.648237717060578,6.166672020136037
1902-02-02,23.828543306620336,6.183899380414119
1902-02-03,24.09593786426222,6.18841658136961
1902-02-04,24.23961389209914,6.169936213487355
1902-02-05,24.406519125715583,6.175649111066377
1902-02-06,24.58750993051624,6.200009512884877
1902-02-07,24.776829642691446,6.298427261871781
1902-02-08,24.881760745991254,6.3906967215492045
1902-02-09,25.016168057243785,6.452178997333586
1902-02-10,25.100925025982033,6.545061407097839
1902-02-11,25.16057452038963,6.599128483935903
1902-02-12,25.178631484776556,6.617921938977522
1902-02-13,25.22341391794804,6.634766196826872
1902-02-14,25.28648936674937,6.647877203929136
1902-02-15,25.274800387022182,6.6484359489291815
1902-02-16,25.27785382878753,6.652770213908399
1902-02-17,25.330595274429157,6.669501566521983
1902-02-18,25.363937857138207,6.68988915650175
1902-02-19,25.440899111909058,6.706603232073923
1902-02-20,25.427024207109167,6.75889131304418
1902-02-21,25.46882998134889,6.831913579204944
1902-02-22,25.444922212597575,6.858145688690555
1902-02-23,25.433919546402166,6.865152192086697
1902-02-24,25.42232829073051,6.868979335561039
1902-02-25,25.41858702598985,6.878004367964165
1902-02-26,25.41055999636194,6.885561059379612
1902-02-27,25.4423768151865,6.92882381138949
1902-02-28,25.48251130990235,6.979576886932223
1902-03-01,25.536504079809532,7.016728787618969
1902-03-02,25.60866349373294,7.06256915687319
1902-03-03,25.64910903913554,7.15436299710308
1902-03-04,25.702455472342248,7.201346758305864
1902-03-05,25.85095729477634,7.218272249436537
1902-03-06,26.122395792566103,7.298230560274259
1902-03-07,26.253478943389837,7.345968690772061
1902-03-08,26.3511685994899,7.3782244082788555
1902-03-09,26.44609028772653,7.411521684344049
1902-03-10,26.59652324381647,7.462443686957301
1902-03-11,26.782707303263575,7.507807121516409
1902-03-12,26.9264487531363,7.541131401574407
1902-03-13,27.15368485965138,7.589820490409965
1902-03-14,27.317198848433637,7.635607569303566
1902-03-15,27.446965284587513,7.716970262223322
1902-03-16,27.489151785694883,7.746477225428642
1902-03-17,27.566463261084493,7.860048206993139
1902-03-18,27.61859466006784,7.894045732400178
1902-03-19,27.674974215811854,8.025406760399042
1902-03-20,27.720263121062672,8.147637058024618
1902-03-21,27.79936506795745,8.18344957708712
1902-03-22,27.842713304274596,8.22227364298444
1902-03-23,27.90307716145376,8.267070911151592
