Year,Month,Day,Hour,reserves
2010,1,1,0,690.82
2010,1,1,1,651.38
2010,1,1,2,621.88
2010,1,1,3,605.66
2010,1,1,4,600.16
2010,1,1,5,604.36
2010,1,1,6,634.6
2010,1,1,7,633.76
2010,1,1,8,658.38
2010,1,1,9,685.5
2010,1,1,10,707.6
2010,1,1,11,715.12
2010,1,1,12,709.04
2010,1,1,13,700.38
2010,1,1,14,690.1
2010,1,1,15,688.12
2010,1,1,16,720.78
2010,1,1,17,819.98
2010,1,1,18,830.88
2010,1,1,19,809.24
2010,1,1,20,789.92
2010,1,1,21,767.12
2010,1,1,22,713
2010,1,1,23,664.9
2010,1,2,0,649.76
2010,1,2,1,618.78
2010,1,2,2,600.82
2010,1,2,3,594.04
2010,1,2,4,596.44
2010,1,2,5,609
2010,1,2,6,649.08
2010,1,2,7,665.62
2010,1,2,8,708.3
2010,1,2,9,740.88
2010,1,2,10,756.88
2010,1,2,11,756.78
2010,1,2,12,744.98
2010,1,2,13,731.64
2010,1,2,14,718.08
2010,1,2,15,716.76
2010,1,2,16,751.44
2010,1,2,17,856.14
2010,1,2,18,876.96
2010,1,2,19,854.08
2010,1,2,20,832.68
2010,1,2,21,799.88
2010,1,2,22,736.32
2010,1,2,23,685.6
2010,1,3,0,631.6
2010,1,3,1,603.4
2010,1,3,2,586.36
2010,1,3,3,580.16
2010,1,3,4,581.24
2010,1,3,5,590.46
2010,1,3,6,619.5
2010,1,3,7,633.16
2010,1,3,8,673.14
2010,1,3,9,698.4
2010,1,3,10,713.36
2010,1,3,11,720.38
2010,1,3,12,719.88
2010,1,3,13,716.22
2010,1,3,14,711.2
2010,1,3,15,715.22
2010,1,3,16,743.8
2010,1,3,17,856.98
2010,1,3,18,886.04
2010,1,3,19,872.2
2010,1,3,20,849.54
2010,1,3,21,802.84
2010,1,3,22,725.18
2010,1,3,23,669.3
2010,1,4,0,627.78
2010,1,4,1,604.38
2010,1,4,2,595.18
2010,1,4,3,597.5
