Month,PGE_valley,SCE,SDGE
1/1/2010,2096,863.46,221.4
2/1/2010,2183,870.48,223.2
3/1/2010,2280,462.54,118.6
4/1/2010,2282,928.2,238
5/1/2010,2285,1734.72,444.8
6/1/2010,2286,1758.12,450.8
7/1/2010,2280,1763.58,452.2
8/1/2010,2280,1767.48,453.2
9/1/2010,2272,1733.16,444.4
10/1/2010,1139,1049.1,269
11/1/2010,1640,882.96,226.4
12/1/2010,2233,873.6,224
1/1/2011,,,
2/1/2011,,,
3/1/2011,,,
4/1/2011,,,
5/1/2011,,,
6/1/2011,,,
7/1/2011,,,
8/1/2011,,,
9/1/2011,,,
10/1/2011,,,
11/1/2011,,,
12/1/2011,,,
