day,PGE_valley,PGE_bay,SCE,SDGE,PNW
1,6.38,6.38,6.19,6.19,6.98
2,6.38,6.38,6.19,6.19,6.98
3,6.38,6.38,6.19,6.19,6.98
4,6.38,6.38,6.19,6.19,6.98
5,6.48,6.48,6.29,6.29,6.98
6,6.76,6.76,6.57,6.57,6.98
7,7.8,7.8,7.61,7.61,6.98
8,6.85,6.85,6.66,6.66,6.98
9,6.85,6.85,6.66,6.66,6.98
10,6.85,6.85,6.66,6.66,6.98
11,6.06,6.06,5.87,5.87,6.98
12,5.86,5.86,5.67,5.67,6.98
13,5.9,5.9,5.71,5.71,6.98
14,6.06,6.06,5.87,5.87,6.98
15,5.95,5.95,5.76,5.76,6.98
16,5.95,5.95,5.76,5.76,6.98
17,5.95,5.95,5.76,5.76,6.98
18,5.95,5.95,5.76,5.76,6.98
19,5.8,5.8,5.61,5.61,6.98
20,5.83,5.83,5.64,5.64,6.98
21,5.81,5.81,5.62,5.62,6.98
22,5.96,5.96,5.77,5.77,6.98
23,5.96,5.96,5.77,5.77,6.98
24,5.96,5.96,5.77,5.77,6.98
25,6.05,6.05,5.86,5.86,6.98
26,5.9,5.9,5.71,5.71,6.98
27,5.71,5.71,5.52,5.52,6.98
28,5.61,5.61,5.42,5.42,6.98
29,5.55,5.55,5.36,5.36,6.98
30,5.55,5.55,5.36,5.36,6.98
31,5.55,5.55,5.36,5.36,6.98
32,5.59,5.59,5.4,5.4,6.27
33,5.76,5.76,5.57,5.57,6.27
34,5.8,5.8,5.61,5.61,6.27
35,5.76,5.76,5.57,5.57,6.27
36,5.9,5.9,5.71,5.71,6.27
37,5.9,5.9,5.71,5.71,6.27
38,5.9,5.9,5.71,5.71,6.27
39,6.02,6.02,5.83,5.83,6.27
40,5.83,5.83,5.64,5.64,6.27
41,5.77,5.77,5.58,5.58,6.27
42,5.82,5.82,5.63,5.63,6.27
43,5.77,5.77,5.58,5.58,6.27
44,5.77,5.77,5.58,5.58,6.27
45,5.77,5.77,5.58,5.58,6.27
46,5.77,5.77,5.58,5.58,6.27
47,5.94,5.94,5.75,5.75,6.27
48,5.76,5.76,5.57,5.57,6.27
49,5.69,5.69,5.5,5.5,6.27
50,5.39,5.39,5.2,5.2,6.27
51,5.39,5.39,5.2,5.2,6.27
52,5.39,5.39,5.2,5.2,6.27
53,5.21,5.21,5.02,5.02,6.27
54,5.2,5.2,5.01,5.01,6.27
55,5.2,5.2,5.01,5.01,6.27
56,5.13,5.13,4.94,4.94,6.27
57,5.05,5.05,4.86,4.86,6.27
58,5.05,5.05,4.86,4.86,6.27
59,5.05,5.05,4.86,4.86,6.27
60,5.12,5.12,4.93,4.93,5.47
61,5.07,5.07,4.88,4.88,5.47
62,5.05,5.05,4.86,4.86,5.47
63,5.07,5.07,4.88,4.88,5.47
64,4.85,4.85,4.66,4.66,5.47
65,4.85,4.85,4.66,4.66,5.47
66,4.85,4.85,4.66,4.66,5.47
67,4.76,4.76,4.57,4.57,5.47
68,4.8,4.8,4.61,4.61,5.47
69,4.73,4.73,4.54,4.54,5.47
70,4.76,4.76,4.57,4.57,5.47
71,4.64,4.64,4.45,4.45,5.47
72,4.64,4.64,4.45,4.45,5.47
73,4.64,4.64,4.45,4.45,5.47
74,4.58,4.58,4.39,4.39,5.47
75,4.67,4.67,4.48,4.48,5.47
76,4.56,4.56,4.37,4.37,5.47
77,4.48,4.48,4.29,4.29,5.47
78,4.3,4.3,4.11,4.11,5.47
79,4.3,4.3,4.11,4.11,5.47
80,4.3,4.3,4.11,4.11,5.47
81,4.31,4.31,4.12,4.12,5.47
82,4.37,4.37,4.18,4.18,5.47
83,4.31,4.31,4.12,4.12,5.47
84,4.3,4.3,4.11,4.11,5.47
85,4.21,4.21,4.02,4.02,5.47
86,4.21,4.21,4.02,4.02,5.47
87,4.21,4.21,4.02,4.02,5.47
88,4.12,4.12,3.93,3.93,5.47
89,4.08,4.08,3.89,3.89,5.47
90,4.22,4.22,4.03,4.03,5.47
91,4.01,4.01,3.82,3.82,4.91
92,4.01,4.01,3.82,3.82,4.91
93,4.01,4.01,3.82,3.82,4.91
94,4.01,4.01,3.82,3.82,4.91
95,4.22,4.22,4.03,4.03,4.91
96,4.45,4.45,4.26,4.26,4.91
97,4.37,4.37,4.18,4.18,4.91
98,4.21,4.21,4.02,4.02,4.91
99,4.19,4.19,4,4,4.91
100,4.19,4.19,4,4,4.91
101,4.19,4.19,4,4,4.91
102,4.33,4.33,4.14,4.14,4.91
103,4.26,4.26,4.07,4.07,4.91
104,4.44,4.44,4.25,4.25,4.91
105,4.45,4.45,4.26,4.26,4.91
106,4.26,4.26,4.07,4.07,4.91
107,4.26,4.26,4.07,4.07,4.91
108,4.26,4.26,4.07,4.07,4.91
109,4.31,4.31,4.12,4.12,4.91
110,4.22,4.22,4.03,4.03,4.91
111,4.25,4.25,4.06,4.06,4.91
112,4.24,4.24,4.05,4.05,4.91
113,4.36,4.36,4.17,4.17,4.91
114,4.36,4.36,4.17,4.17,4.91
115,4.36,4.36,4.17,4.17,4.91
116,4.52,4.52,4.33,4.33,4.91
117,4.47,4.47,4.28,4.28,4.91
118,4.48,4.48,4.29,4.29,4.91
119,4.53,4.53,4.34,4.34,4.91
120,4.23,4.23,4.04,4.04,4.91
121,4.23,4.23,4.04,4.04,4.96
122,4.23,4.23,4.04,4.04,4.96
123,4.15,4.15,3.96,3.96,4.96
124,4.25,4.25,4.06,4.06,4.96
125,4.29,4.29,4.1,4.1,4.96
126,4.26,4.26,4.07,4.07,4.96
127,4.2,4.2,4.01,4.01,4.96
128,4.2,4.2,4.01,4.01,4.96
129,4.2,4.2,4.01,4.01,4.96
130,4.37,4.37,4.18,4.18,4.96
131,4.44,4.44,4.25,4.25,4.96
132,4.47,4.47,4.28,4.28,4.96
133,4.55,4.55,4.36,4.36,4.96
134,4.56,4.56,4.37,4.37,4.96
135,4.56,4.56,4.37,4.37,4.96
136,4.56,4.56,4.37,4.37,4.96
137,4.63,4.63,4.44,4.44,4.96
