Day,Cons_Pool_elev_m
1,441
31,441
38,446
45,450
52,453
59,457
67,458
75,460
83,461
91,462
98,464
106,465
113,466
121,467
128,469
135,470
244,470
251,468
259,466
266,465
274,463
281,461
289,459
297,457
305,455
312,453
320,451
327,447
335,441
365,441
