Day,Cons_Pool_elev_m
1,235
28,235
38,237
45,239
52,241
59,242
66,244
74,245
82,246
90,247
97,249
105,250
112,250
120,251
127,252
135,253
140,254
243,254
250,252
258,251
265,249
273,247
280,245
288,243
296,240
304,235
311,235
365,235
