Day,Cons_Pool_elev_m
1,442
31,442
38,447
45,452
52,457
59,461
66,463
74,465
82,467
90,469
97,471
105,472
112,474
120,476
125,477
243,477
250,475
258,473
265,471
273,468
280,466
288,464
296,461
304,458
311,456
319,452
326,448
334,442
365,442
