Day,Pool_elevation_m
1,466.954
31,466.954
59,472.8
90,476
91,475.7
105,477.1
120,478.6
130,479.6
212,479.6
213,479.6
243,479.6
244,479.5
273,475.7
274,475.6
304,471.8
305,471.7
319,469.8
334,466.954
365,466.954
