Day,Cons_Pool_elev_m
1,218
28,218
38,227
45,233
52,237
59,240
66,242
74,244
82,245
90,247
97,248
105,249
112,250
120,251
127,252
131,253
244,253
250,251
258,249
265,247
273,245
280,243
288,240
296,237
304,233
311,228
319,223
325,218
365,218
