Day,Cons_Pool_elev_m
1,108
31,108
38,109
45,110
52,111
59,111
66,112
74,112
82,113
90,113
97,113
105,114
258,114
265,114
273,113
280,113
288,112
296,112
304,111
311,110
319,108
365,108
