Day,Cons_Pool_elev_m
1,186.85
31,186.85
38,187
45,188
52,189
59,189
66,190
74,190
82,191
87,191.4
105,187
135,187
151,194
273,194
280,193
288,192
296,191
304,189
311,188
319,186.85
365,186.85
