Day,Cons_Pool_elev_m
-100,467
31,467
38,474
45,480
52,486
59,492
66,494
74,497
82,500
90,503
97,505
105,508
112,510
120,512
127,514
130,515
243,515
250,512
258,509
265,506
273,503
280,500
288,496
296,492
304,488
311,484
319,480
326,474
334,467
500,467
