Day,Cons_Pool_elev_m
1,229
28,229
38,230
45,231
52,232
59,233
66,234
74,235
82,236
90,237
97,237
105,238
112,239
120,239
127,240
135,240
139,241
244,241
250,240
258,239
265,238
273,237
280,235
288,234
296,232
304,229
311,229
365,229
