Day,Cons_Pool_elev_m
1,251
31,251
38,256
45,261
52,264
59,268
66,270
74,271
82,273
90,275
97,276
105,278
112,278.9
120,278.9
127,278.9
130,278.9
243,278.9
257,278.9
258,279
265,277
273,275
280,273
288,271
296,268
304,266
311,264
319,261
326,257
334,251
365,251
