Day,Cons_Pool_elev_m
1,360
31,360
38,372
45,381
52,388
59,393
66,395
74,398
82,400
90,402
97,404
105,406
112,407
120,409
127,411
131,411
244,411
250,409
258,407
265,404
273,400
280,397
288,393
296,388
304,382
311,375
319,362
326,360
365,360
